pair;phd_candidate;supervisor;country;institute;subfield;pmid;owner;position_author_supervisor;concern_methods_tools_devlpmnt_or_review;thesis_year;thesis_title;thesis_link;doi;oa_status;issn;journal;publisher;publication_date_unpaywall;is_open_data;open_data_category;is_open_code;open_data_statements;open_code_statements;downloaded;manual_check_code_th;manual_check_code_mh;identifier;assessment;trn;has_trn_secondary_id;has_trn_abstract;has_trn_ft
4;Laurent S V Thomas;Franz Schaefer;Germany;Universitat Heidelberg;"paedetrics
paediatrics";29913001;supervisor;last;no;2021;Computer vision and data-analysis solutions for phenotypic screening of small model organisms;http://archiv.ub.uni-heidelberg.de/volltextserver/30804/1/PhDthesis_LaurentThomas.pdf;10.1001/jamapediatrics.2018.1323;green;2168-6203;JAMA Pediatrics;American Medical Association (AMA);01.08.2018;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NCT02438982;TRUE;TRUE;FALSE
4;Laurent S V Thomas;Franz Schaefer;Germany;Universitat Heidelberg;"paedetrics
paediatrics";29913001;supervisor;last;no;2021;Computer vision and data-analysis solutions for phenotypic screening of small model organisms;http://archiv.ub.uni-heidelberg.de/volltextserver/30804/1/PhDthesis_LaurentThomas.pdf;10.1001/jamapediatrics.2018.1323;green;2168-6203;JAMA Pediatrics;American Medical Association (AMA);01.08.2018;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;CTRI/2014/01/004355;TRUE;TRUE;FALSE
8;Nicole Tonya Erickson;Volker Heinemann;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;cancer;27722750;supervisor;last;no;2021;Establishing patient-centered nutrition screening for German speaking oncology patients;https://edoc.ub.uni-muenchen.de/29055/7/Erickson_Nicole_Tonya.pdf;10.1001/jamaoncol.2016.3797;green;2374-2437;JAMA Oncology;American Medical Association (AMA);01.02.2017;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NCT00154102;TRUE;TRUE;FALSE
8;Nicole Tonya Erickson;Volker Heinemann;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;cancer;27722750;supervisor;last;no;2021;Establishing patient-centered nutrition screening for German speaking oncology patients;https://edoc.ub.uni-muenchen.de/29055/7/Erickson_Nicole_Tonya.pdf;10.1001/jamaoncol.2016.3797;green;2374-2437;JAMA Oncology;American Medical Association (AMA);01.02.2017;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NCT00433927;TRUE;TRUE;FALSE
8;Nicole Tonya Erickson;Volker Heinemann;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;cancer;33154570;supervisor;last;no;2021;Establishing patient-centered nutrition screening for German speaking oncology patients;https://edoc.ub.uni-muenchen.de/29055/7/Erickson_Nicole_Tonya.pdf;10.1038/s41416-020-01140-9;hybrid;0007-0920,1532-1827;British Journal of Cancer;Springer Science and Business Media LLC;06.11.2020;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NCT00433927;TRUE;TRUE;FALSE
30;Renate M Hoogeveen;E.S.G. Kroes;Netherlands;Amsterdam UMC;vascular_biology;30922146;supervisor;last;no;2021;From targeting major cardiovascular players to precision medicine;https://hdl.handle.net/11245.1/b6f7cfc6-2a36-45bd-bccb-46871da257be;10.1161/jaha.118.011662;gold;2047-9980;Journal of the American Heart Association;Ovid Technologies (Wolters Kluwer Health);02.04.2019;TRUE;supplement;FALSE;"an accompanying data s1 is available at https://www.ahajournals.org/doi/suppl/10.1161/jaha.118.011662 correspondence to: ulrich laufs md phd klinik und poliklinik fâ‚¬ur kardiologie universitâ‚¬atsklinikum leipzig liebigstrasse 20 04103 leipzig germany.;     full inclusion and exclusion criteria are provided in data s1.;     supplemental material  downloaded from http://ahajournals.org by on january 26 2022   data s1.";NA;TRUE;NA;NA;NULL;no_open_data;NCT 02988115;FALSE;TRUE;FALSE
1;Sabrina T Wiebe;Gerd Mikus;Germany;Universitat Heidelberg;drug_development;30828771;supervisor;last;no;2020;Midazolam Microdosing and Population Pharmacokinetic Modelling to Assess CYP3A Drug-Drug Interactions in Early Clinical Development;http://archiv.ub.uni-heidelberg.de/volltextserver/29312/1/WIEBE_Doktorarbeit_Final.pdf;10.1007/s40262-019-00749-1;closed;0312-5963,1179-1926;Clinical Pharmacokinetics;Springer Science and Business Media LLC;04.03.2019;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;2016-003024-23;FALSE;TRUE;FALSE
15;Elisabeth Olliges;Karin MeiÃƒÅ¸ner;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;medical_psychology;31428002;candidate;na;no;2021;Suggestibility as well as Psychosocial and Physical Long-term Consequences in Patients with a History of Stress-induced Cardiomyopathy;https://edoc.ub.uni-muenchen.de/28381/2/Olliges_Elisabeth.pdf;10.3389/fpsyt.2019.00549;gold;1664-0640;Frontiers in Psychiatry;Frontiers Media SA;02.08.2019;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;DRKS00009296;FALSE;TRUE;FALSE
19;Koen T van Hamersveld;Rob G H H Nelissen;Netherlands;Leiden UMC;orthopedics;29448880;candidate;na;no;2021;Risk factors for long-term failure of orthopaedic medical devices: taking advantage of RSA as an early detection tool;https://hdl.handle.net/1887/3245131;10.1080/17453674.2018.1429108;gold;1745-3674,1745-3682;Acta Orthopaedica;Informa UK Limited;16.02.2018;NA;NA;NA;NA;NA;FALSE;NA;NA;NA;NA;NCT02924961;FALSE;FALSE;TRUE
19;Koen T van Hamersveld;Rob G H H Nelissen;Netherlands;Leiden UMC;orthopedics;31017513;candidate;na;no;2021;Risk factors for long-term failure of orthopaedic medical devices: taking advantage of RSA as an early detection tool;https://hdl.handle.net/1887/3245131;10.1080/17453674.2019.1605692;gold;1745-3674,1745-3682;Acta Orthopaedica;Informa UK Limited;24.04.2019;NA;NA;NA;NA;NA;FALSE;NA;NA;NA;NA;ISRCTN04081530;FALSE;FALSE;TRUE
30;Renate M Hoogeveen;E.S.G. Kroes;Netherlands;Amsterdam UMC;vascular_biology;33602971;candidate;na;no;2021;From targeting major cardiovascular players to precision medicine;https://hdl.handle.net/11245.1/b6f7cfc6-2a36-45bd-bccb-46871da257be;10.1038/s41598-021-83273-2;gold;2045-2322;Scientific Reports;Springer Science and Business Media LLC;18.02.2021;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NTR6896;FALSE;TRUE;FALSE
31;Marit Navis;R.M. van Elburg;Netherlands;Amsterdam UMC;epidemiology;33763438;supervisor;last;no;2021;From in vitro to in vivo models, and the impact of early life nutrition;https://hdl.handle.net/11245.1/856901ab-6b10-4e58-b5f6-4b222d3bb828;10.3389/fnut.2021.561419;gold;2296-861X;Frontiers in Nutrition;Frontiers Media SA;08.03.2021;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;ISRCTN15469594;FALSE;TRUE;FALSE
16;Alexander F Lipka;Verschuuren, J.J.G.M.;Netherlands;Leiden UMC;autoimmunity;30660402;supervisor;last;no;2021;Autoimmunity at the neuromuscular synapse: pathophysiology and disease course;https://hdl.handle.net/1887/3246848;10.1016/j.vaccine.2019.01.007;green;0264-410X;Vaccine;Elsevier BV;01.02.2019;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;2016-003138-26;FALSE;TRUE;FALSE
1;Sabrina T Wiebe;Gerd Mikus;Germany;Universitat Heidelberg;drug_development;32060866;supervisor;last;no;2020;Midazolam Microdosing and Population Pharmacokinetic Modelling to Assess CYP3A Drug-Drug Interactions in Early Clinical Development;http://archiv.ub.uni-heidelberg.de/volltextserver/29312/1/WIEBE_Doktorarbeit_Final.pdf;10.1007/s40262-020-00862-6;hybrid;0312-5963,1179-1926;Clinical Pharmacokinetics;Springer Science and Business Media LLC;15.02.2020;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;2017-001801-34;FALSE;TRUE;FALSE
2;Christina Georgikou;Ingrid Herr;Germany;Universitat Heidelberg;cancer;28137273;supervisor;last;no;2020;Inhibition of pancreatic cancer progression by sulforaphane- mediated downregulation of miR30a-3p and sulforaphane derivatives;http://archiv.ub.uni-heidelberg.de/volltextserver/29102/7/Christina_Georgikou_Dissertation.pdf;10.1186/s12943-017-0589-8;gold;1476-4598;Molecular Cancer;Springer Science and Business Media LLC;31.01.2017;TRUE;field-specific repository, supplement;FALSE;the number of visible cells is indicated on each slide  accession number e-mtab-4718 was uploaded to array express and 105 mirs were found to be differentially expressed.     xlsx 247 kb) additional file 4;NA;TRUE;NA;NA;supplementary materials;open_data;NA;NA;NA;NA
6;Andreas Staudt;Ulrich John;Germany;Universitat Heidelberg;public_health;31163053;candidate;na;no;2020;Screening for at-risk alcohol use: The challenge of temporal changes in alcohol consumption;https://epub.ub.uni-greifswald.de/frontdoor/deliver/index/docId/4496/file/Diss_Staudt_komplett_PDF.pdf;10.1371/journal.pone.0217595;gold;1932-6203;PLOS ONE;Public Library of Science (PLoS);04.06.2019;TRUE;supplement;FALSE;supporting information s1 dataset.;NA;TRUE;NA;NA;https://figshare.com/articles/dataset/Does_prior_recall_of_past_week_alcohol_use_affect_screening_results_for_at-risk_drinking_Findings_from_a_randomized_study/8225411;open_data;NA;NA;NA;NA
7;Michael Lacy;JÃƒÂ_rgen Bernhagen;Germany;Universitat Heidelberg;vascular_biology;34145241;candidate;na;no;2021;Screening for at-risk alcohol use: The challenge of temporal changes in alcohol consumption;https://epub.ub.uni-greifswald.de/frontdoor/deliver/index/docId/4496/file/Diss_Staudt_komplett_PDF.pdf;10.1038/s41467-021-23909-z;gold;2041-1723;Nature Communications;Springer Science and Business Media LLC;18.06.2021;TRUE;field-specific repository;FALSE;rna sequencing data are publicly available under accession code [gse145585].;NA;TRUE;NA;NA;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE145585;open_data;NA;NA;NA;NA
15;Elisabeth Olliges;Karin MeiÃƒÅ¸ner;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;medical_psychology;32966280;supervisor;last;no;2021;Suggestibility as well as Psychosocial and Physical Long-term Consequences in Patients with a History of Stress-induced Cardiomyopathy;https://edoc.ub.uni-muenchen.de/28381/2/Olliges_Elisabeth.pdf;10.1371/journal.pone.0238533;gold;1932-6203;PLOS ONE;Public Library of Science (PLoS);23.09.2020;TRUE;field-specific repository, supplement;FALSE;"the mass spectrometry proteomics data have been deposited to the proteomexchange consortium via the pride [27] partner repository with the dataset identifier pxd020563.   thus for large individual proteins we could increase the sample size up to 1000 fold (s1 dataset).;     supporting information s1 dataset.  xlsx) s1 file";NA;TRUE;NA;NA;https://www.ebi.ac.uk/pride/archive/projects/PXD020563;open_data;NA;NA;NA;NA
20;Christoph GstÃƒÂ¶ttner;Manfred Wuhrer;Netherlands;Leiden UMC;medical_chemistry;31086181;supervisor;last;no;2021;Boosting mass spectrometry-based analytics for biopharma;https://hdl.handle.net/1887/3245884;10.1038/s41467-019-09910-7;gold;2041-1723;Nature Communications;Springer Science and Business Media LLC;13.05.2019;TRUE;field-specific repository, supplement, data availability statement;FALSE;"data availability the raw mass spectrometric data ï¬Åles that support the ï¬Åndings of this study are available in massive in .mzxml and .xy format with the identiï¬Åer msv000083478 [https://doi. org/10.25345/c5061z]35.   6 supplementary data 1).;     as compared with previous studies assessing the tpng in a sialic acid linkage-speciï¬Åc manner we here report a higher number of unique glycan compositions (supplementary data 1 and 2)5121624â€“28.;     furthermore we found a very good overall method repeatability and intermediate precision based on the relative quantiï¬Åcation of the 118 glycoforms with a s/n > 9 (fig. 4 and supplementary data 1).;     raw ce-esi-ms data were calibrated prior to data analysis using a minimum of ï¬Åve signals of the identiï¬Åed n-glycan compositions (supplementary data 1) with data analysis 4.2 (build 395 bruker daltonics).;     the data were manually screened for n-glycan compositions based on their exact 6  mass migration order and previous described structures in literature which resulted in 167 n-glycan compositions including differently linked sialic acids (supplementary data 1)5121624â€“28.;     this resulted in 118 quantiï¬Åed n-glycan compositions in the tpng analysis (supplementary data 1).   data availability the raw mass spectrometric data ï¬Åles that support the ï¬Åndings of this study are available in massive in .mzxml and .xy format with the identiï¬Åer msv000083478 [https://doi";NA;TRUE;NA;NA;https://doi.org/10.25345/C5061Z;open_data;NA;NA;NA;NA
23;Maria TiÃƒÂ_-Coma;Annemieke Geluk;Netherlands;Leiden UMC;bacteriology;32612587;candidate;na;no;2021;Exploring host and pathogen biomarkers for leprosy;https://hdl.handle.net/1887/3229676;10.3389/fmicb.2020.01220;gold;1664-302X;Frontiers in Microbiology;Frontiers Media SA;16.06.2020;TRUE;field-specific repository, supplement;FALSE;"sequence data are available from the ncbi sequence read archive (sra) under the bioprojects prjna605605 (https://www.ncbi.nlm.nih.gov/bioproject/prjna605605) and prjna592722 (https://www.ncbi.nlm.nih.gov/bioproject/ prjna592722) biosamples samn14072760-775 and samn13438761-771.   materials and methods study design and sample collection newly diagnosed leprosy patients (index case n = 31) with bacteriological index (bi) â‰¥ 2 and 3â€“15 household contacts of each index case (n = 279) were recruited between july 2017 and may 2018 (supplementary table s1 and supplementary data s1) in four districts of bangladesh (nilphamari rangpur panchagar and thakurgaon).;     library preparation and enrichment a total of 60 dna extracts were selected for wgs including 30 from sss and 30 from ns (supplementary figure s1 and supplementary data s1).;     results m. leprae detection in patients and healthy household contacts at diagnosis of the index cases and recruitment of contacts in this study out of 279 household contacts 250 presented no signs or symptoms of leprosy or other diseases (hhc) whereas 22 household contacts were diagnosed as pb and seven as mb patients (supplementary table s1 and supplementary data s1) and therefore were excluded from the hhc group.;     presence of m. leprae dna was determined by rlep pcr or qpcr in sss and ns of leprosy patients and hhc (figure 1 and supplementary data s1): as expected in mb patients with bi 2â€“6 m. leprae dna was almost always detectable in both sss (96.8%) and ns (90.9%).;     moreover the overall ct range was lower for sss [16.3â€“37.1] compared to ns [20.1â€“39.4] showing that sss contained more m. leprae dna and is a preferred sample for its detection (supplementary data s1).;     a total of 60 samples (30 sss and 30 ns) from mb and pb leprosy patients as well as hhc were selected for wgs with an rlep qpcr ct ranging from 16.2 to 37.2 (supplementary data s1).;     instead they form a new cluster in the phylogenetic tree located between genotypes the 1a and 1b which we refer to as 1b-bangladesh (figure 2 blue and supplementary data s1).;     three subjects including two ns samples from hhc carried genotype 1 but subtype could not be established due to lack of amplification of the subtyping loci (supplementary data s1).;     in contrast to previous observations (monot et al. 2009; truman et al. 2011) we found that this position is not phylogenetically informative as it is also found unmutated (a; met) in strains from the genotype 3i and 2e (figure 2 green and supplementary data s2).;     the latter was successful on 18 samples for rpob five sample for folp1 and 15 samples for gyra (supplementary data s1).;     frontiers in microbiology | www.frontiersin.org  distribution and possible transmission of m. leprae genotypes the most prevalent m. leprae genotype in the studied area of bangladesh is 1d found in 55% of the individuals (n = 16 table 1 and supplementary data s1) followed by 1a in 31% (n = 9) and 1b-bangladesh in 14% (n = 4).;     in a total of four households the same m. leprae genotype was detected in two individuals (supplementary data s1).;     in the first household both subjects were mb patients and wgs showed no genetic variation between both patientsâ€™ genomes (rb001  frontiers in microbiology | www.frontiersin.org  and rb003 1b-bangladesh genotype supplementary data s2).;     moreover unique m. leprae snps identified in the genomes of the sss (supplementary tables s3 s4) were also detected in seven of the genomes of the ns of these patients (supplementary data s1).;     from these 92 positive individuals 70 were neither positive for sss nor ns rlep pcr (supplementary data s1).;     genomic comparison showed no differences between dna from sss and ns for two patients: rb001-rn001 (genotype 1b-bangladesh) and rb048-rn059 (genotype 1d-esxa figure 2 and supplementary data s2).;     author contributions  data s1 | overall subject and sample information pcr quantitative pcr (qpcr) genotyping and antimicrobial resistance results.;     mt-c ca ah and ab  data s2 | snps identified in 259 m. leprae genomes including 27 genomes from this study.";NA;TRUE;NA;NA;https://figshare.com/collections/Genomic_Characterization_of_Mycobacterium_leprae_to_Explore_Transmission_Patterns_Identifies_New_Subtype_in_Bangladesh/5022806;open_data;NA;NA;NA;NA
23;Maria TiÃƒÂ_-Coma;Annemieke Geluk;Netherlands;Leiden UMC;bacteriology;34090257;candidate;na;no;2021;Exploring host and pathogen biomarkers for leprosy;https://hdl.handle.net/1887/3229676;10.1016/j.ebiom.2021.103379;gold;2352-3964;EBioMedicine;Elsevier BV;01.06.2021;TRUE;field-specific repository, data availability statement;FALSE;data sharing statement sequence data have been submitted to ncbi gene expression omnibus (geo) under accession number gse163498.      data sharing statement sequence data have been submitted to ncbi gene expression omnibus (geo) under accession number gse163498;NA;TRUE;NA;NA;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE163498;open_data;NA;NA;NA;NA
25;Loes Soetens;Jacco Wallinga;Netherlands;Leiden UMC;epidemiology;34898617;supervisor;last;no;2021;Patterns and scales in infectious disease surveillance data: an exploratory data analysis approach;https://hdl.handle.net/1887/3247049;10.1371/journal.pcbi.1009697;gold;1553-7358;PLOS Computational Biology;Public Library of Science (PLoS);13.12.2021;TRUE;general-purpose repository;TRUE;"data availability statement: all data are available from github repository (https://github.com/fmiura/ vacallo_2021).;     replication code and data are available on github (https://github.com/ fmiura/vacallo_2021).";"data availability statement: all data are available from github repository (https://github.com/fmiura/ vacallo_2021).;     replication code and data are available on github (https://github.com/ fmiura/vacallo_2021).";TRUE;yes;yes;https://github.com/fmiura/VacAllo_2021/tree/main/data;open_data;NA;NA;NA;NA
26;Yang Ge;Marco C. DeRuiter;Netherlands;Leiden UMC;cardiology;32801116;supervisor;last;no;2021;Modeling of the cardiac sympathetic nervous system and the contribution of epicardium-derived cells;https://hdl.handle.net/1887/3247258;10.1242/dmm.044990;gold;1754-8411,1754-8403;Disease Models & Mechanisms;The Company of Biologists;01.01.2020;TRUE;general-purpose repository, data availability statement;TRUE;data availability rna sequencing datasets reported in this paper have been deposited in the zenodo repository: doi:10.5281/zenodo.4012513.     data availability rna sequencing datasets reported in this paper have been deposited in the zenodo;the r code and documentation of raceid3 is available for download at https://github.com/dgrun/raceid3_ stemid2_package (herman et al. 2018).;TRUE;code_reuse;code_reuse;https://zenodo.org/record/4012513;open_data;NA;NA;NA;NA
28;EsmÃƒÂ© van der Gracht;Frits Koning;Netherlands;Leiden UMC;molecular_biology;31474997;supervisor;last;no;2021;Dissecting the heterogeneity of circulating and tissue-resident memory T cells;https://hdl.handle.net/1887/3245200;10.3389/fimmu.2019.01932;gold;1664-3224;Frontiers in Immunology;Frontiers Media SA;14.08.2019;TRUE;field-specific repository, data availability statement;FALSE;immune landscape in fetal tissues  data availability  funding  mass cytometry data are available via flow repository (https:// flowrepository.org/id/fr-fcm-z26t).      data availability  funding  mass cytometry data are available via flow repository (https:// flowrepository.org/id/fr-fcm-z26t;NA;TRUE;NA;NA;https://flowrepository.org/id/FR-FCM-Z26T;open_data;NA;NA;NA;NA
29;Bharath Sampadi;SilvÃƒÂ¨re van der Maarel;Netherlands;Leiden UMC;toxicology;34880314;supervisor;last;no;2021;Dose-dependent and compound-specific phospho-signalling responses after (geno)toxic treatment;https://hdl.handle.net/1887/3240142;10.1038/s41598-021-03030-3;gold;2045-2322;Scientific Reports;Springer Science and Business Media LLC;01.12.2021;TRUE;field-specific repository;FALSE;the mass spectrometry proteomics data have been deposited to the proteomexchange consortium via the pride partner Â_repository30 with the dataset identifier pxd023993.;NA;TRUE;NA;NA;https://www.ebi.ac.uk/pride/archive/projects/PXD023993;open_data;NA;NA;NA;NA
29;Bharath Sampadi;SilvÃƒÂ¨re van der Maarel;Netherlands;Leiden UMC;toxicology;34943915;candidate;na;no;2021;Dose-dependent and compound-specific phospho-signalling responses after (geno)toxic treatment;https://hdl.handle.net/1887/3240142;10.3390/cells10123407;gold;2073-4409;Cells;MDPI AG;03.12.2021;TRUE;field-specific repository;FALSE;data availability statement: data are available via proteomexchange with identifier pxd025376.;NA;TRUE;NA;NA;https://www.ebi.ac.uk/pride/archive/projects/PXD025376;open_data;NA;NA;NA;NA
22;Lisa TCM van Weert;Onno C. Meijer;Netherlands;Leiden UMC;neuroscience;34939259;supervisor;last;no;2021;Genomic glucocorticoid signaling in the hippocampus: understanding receptor specificity and context dependency;https://hdl.handle.net/1887/3240129;10.1111/jne.13072;hybrid;0953-8194,1365-2826;Journal of Neuroendocrinology;Wiley;22.12.2021;TRUE;field-specific repository;TRUE;rna-Â_seq data have been de-  gions for profiling and boundaries for dissections. scrna-Â_seq data  posited in the ncbi gene expression omnibus and are accessible  from the regions of interest were generated using 10x genomics  through geo series accession number gse184924.;"for each corti-  were used as well as the code for coupling score calculation are  costeroid receptor (nr3c1 and nr3c2) we calculated the coupling ( ) score as previously described 25 as kijt = log10 xit Ã— xjt  where i âˆˆ s  available in the github repository (https://github.com/eviho/â€‹10xhiâ€‹  expression of each gene of interest i in cell type t  (xit)  p2021_vihoemg).  and s is one of the gene sets described earlier and j âˆˆ {nr3c1 nr3c2}.;     the code that supports the findings of this study is openly available in the github repository (https://github.com/eviho/â€‹  scriptomic studies the cell type-Â_specific expression of genes that  10xhiâ€‹p2021_vihoeâ€‹mg).";TRUE;yes;yes;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE184924 AND https://zenodo.org/record/5729701#.YgKMs-rMJPY;open_data;NA;NA;NA;NA
