pair,phd_candidate,supervisor,country,institute,subfield,doi,owner,position_author_supervisor,concern_methods_tools_devlpmnt_or_review,thesis_year,thesis_title,thesis_link,...14,dup,oa_status,issn,journal,publisher,publication_date_unpaywall
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.1167/iovs.19-28309,supervisor,last,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283462,NA,FALSE,gold,1552-5783,Investigative Opthalmology & Visual Science,Association for Research in Vision and Ophthalmology (ARVO),2019-11-15
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.1159/000509918,supervisor,last,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283463,NA,FALSE,hybrid,"2296-4681,2296-4657",Ocular Oncology and Pathology,S. Karger AG,2020-12-15
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.1167/iovs.16-20212,supervisor,last,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283464,NA,FALSE,gold,1552-5783,Investigative Opthalmology & Visual Science,Association for Research in Vision and Ophthalmology (ARVO),2017-02-13
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.3390/cancers11081102,supervisor,last,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283465,NA,FALSE,gold,2072-6694,Cancers,MDPI AG,2019-08-02
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.3390/cancers11081104,supervisor,last,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283466,NA,FALSE,gold,2072-6694,Cancers,MDPI AG,2019-08-02
3,martine hendriksma,peter paul van benthem,the netherlands,leiden umc,cancer,10.3390/cancers11091319,candidate,na,no,2022,management of t1-t2 glottic carcinoma: with a specific focus on t2 glottic carcinoma,https://hdl.handle.net/1887/3283522,NA,FALSE,gold,2072-6694,Cancers,MDPI AG,2019-09-06
3,martine hendriksma,peter paul van benthem,the netherlands,leiden umc,cancer,10.1007/s00405-019-05348-1,candidate,na,no,2022,management of t1-t2 glottic carcinoma: with a specific focus on t2 glottic carcinoma,https://hdl.handle.net/1887/3283523,NA,FALSE,hybrid,"0937-4477,1434-4726",European Archives of Oto-Rhino-Laryngology,Springer Science and Business Media LLC,2019-02-27
3,martine hendriksma,peter paul van benthem,the netherlands,leiden umc,cancer,10.1007/s00405-018-5070-9,candidate,na,yes,2022,management of t1-t2 glottic carcinoma: with a specific focus on t2 glottic carcinoma,https://hdl.handle.net/1887/3283524,NA,FALSE,hybrid,"0937-4477,1434-4726",European Archives of Oto-Rhino-Laryngology,Springer Science and Business Media LLC,2018-07-19
3,martine hendriksma,peter paul van benthem,the netherlands,leiden umc,cancer,10.1111/coa.13675,supervisor,last,no,2022,management of t1-t2 glottic carcinoma: with a specific focus on t2 glottic carcinoma,https://hdl.handle.net/1887/3283525,NA,FALSE,hybrid,"1749-4478,1749-4486",Clinical Otolaryngology,Wiley,2020-12-13
3,martine hendriksma,peter paul van benthem,the netherlands,leiden umc,cancer,10.1002/dneu.22786,supervisor,last,no,2022,management of t1-t2 glottic carcinoma: with a specific focus on t2 glottic carcinoma,https://hdl.handle.net/1887/3283526,NA,FALSE,hybrid,"1932-8451,1932-846X",Developmental Neurobiology,Wiley,2020-11-01
3,martine hendriksma,peter paul van benthem,the netherlands,leiden umc,cancer,10.1136/bmjopen-2020-046840,supervisor,last,no,2022,management of t1-t2 glottic carcinoma: with a specific focus on t2 glottic carcinoma,https://hdl.handle.net/1887/3283527,NA,FALSE,gold,"2044-6055,2044-6055",BMJ Open,BMJ,2021-07-01
3,martine hendriksma,peter paul van benthem,the netherlands,leiden umc,cancer,10.1097/MAO.0000000000002270,supervisor,last,yes,2022,management of t1-t2 glottic carcinoma: with a specific focus on t2 glottic carcinoma,https://hdl.handle.net/1887/3283528,NA,FALSE,closed,"1531-7129,1537-4505",Otology & Neurotology,Ovid Technologies (Wolters Kluwer Health),2019-08-01
4,david emanuel schmidt,masja de haas,the netherlands,leiden umc,neonatology,10.1111/jth.15232,candidate,na,no,2022,individualized prognosis in childhood immune thrombocytopenia,https://hdl.handle.net/1887/3281832,NA,FALSE,hybrid,"1538-7933,1538-7836",Journal of Thrombosis and Haemostasis,Wiley,2021-03-18
4,david emanuel schmidt,masja de haas,the netherlands,leiden umc,neonatology,10.1111/jth.15125,candidate,na,no,2022,individualized prognosis in childhood immune thrombocytopenia,https://hdl.handle.net/1887/3281833,NA,FALSE,hybrid,"1538-7933,1538-7836",Journal of Thrombosis and Haemostasis,Wiley,2020-11-27
4,david emanuel schmidt,masja de haas,the netherlands,leiden umc,neonatology,10.1111/jth.14762,candidate,na,no,2022,individualized prognosis in childhood immune thrombocytopenia,https://hdl.handle.net/1887/3281834,NA,FALSE,hybrid,"1538-7933,1538-7836",Journal of Thrombosis and Haemostasis,Wiley,2020-04-12
4,david emanuel schmidt,masja de haas,the netherlands,leiden umc,neonatology,10.1182/bloodadvances.2019000068,candidate,na,no,2022,individualized prognosis in childhood immune thrombocytopenia,https://hdl.handle.net/1887/3281835,NA,FALSE,gold,"2473-9529,2473-9537",Blood Advances,American Society of Hematology,2019-07-03
4,david emanuel schmidt,masja de haas,the netherlands,leiden umc,neonatology,10.1016/j.thromres.2019.03.022,candidate,na,no,2022,individualized prognosis in childhood immune thrombocytopenia,https://hdl.handle.net/1887/3281836,NA,FALSE,closed,0049-3848,Thrombosis Research,Elsevier BV,2019-06-01
4,david emanuel schmidt,masja de haas,the netherlands,leiden umc,neonatology,10.3390/ijms22136763,supervisor,last,no,2022,individualized prognosis in childhood immune thrombocytopenia,https://hdl.handle.net/1887/3281837,NA,FALSE,green,1422-0067,International Journal of Molecular Sciences,MDPI AG,2021-06-23
4,david emanuel schmidt,masja de haas,the netherlands,leiden umc,neonatology,10.3324/haematol.2018.189365,supervisor,last,no,2022,individualized prognosis in childhood immune thrombocytopenia,https://hdl.handle.net/1887/3281838,NA,FALSE,gold,"0390-6078,1592-8721",Haematologica,Ferrata Storti Foundation (Haematologica),2018-06-01
4,david emanuel schmidt,masja de haas,the netherlands,leiden umc,neonatology,10.1111/bjh.17731,supervisor,last,no,2022,individualized prognosis in childhood immune thrombocytopenia,https://hdl.handle.net/1887/3281839,NA,FALSE,hybrid,"0007-1048,1365-2141",British Journal of Haematology,Wiley,2021-08-16
4,david emanuel schmidt,masja de haas,the netherlands,leiden umc,neonatology,10.1080/09537104.2019.1572877,supervisor,last,no,2022,individualized prognosis in childhood immune thrombocytopenia,https://hdl.handle.net/1887/3281840,NA,FALSE,closed,"0953-7104,1369-1635",Platelets,Informa UK Limited,2019-02-13
4,david emanuel schmidt,masja de haas,the netherlands,leiden umc,neonatology,10.1111/trf.16276,supervisor,last,no,2022,individualized prognosis in childhood immune thrombocytopenia,https://hdl.handle.net/1887/3281841,NA,FALSE,green,"0041-1132,1537-2995",Transfusion,Wiley,2021-02-02
4,david emanuel schmidt,masja de haas,the netherlands,leiden umc,neonatology,10.1111/vox.12883,supervisor,last,no,2022,individualized prognosis in childhood immune thrombocytopenia,https://hdl.handle.net/1887/3281842,NA,FALSE,hybrid,"0042-9007,1423-0410",Vox Sanguinis,Wiley,2020-04-01
4,david emanuel schmidt,masja de haas,the netherlands,leiden umc,neonatology,10.1111/trf.15631,supervisor,last,no,2022,individualized prognosis in childhood immune thrombocytopenia,https://hdl.handle.net/1887/3281843,NA,FALSE,closed,"0041-1132,1537-2995",Transfusion,Wiley,2019-12-23
5,boyd kenkhuis,willeke roon-mom,the netherlands,leiden umc,alzheimer,10.1016/j.nbd.2022.105684,candidate,na,no,2022,iron-immune interactions in alzheimer's disease,https://hdl.handle.net/1887/3307816,NA,FALSE,gold,0969-9961,Neurobiology of Disease,Elsevier BV,2022-03-01
5,boyd kenkhuis,willeke roon-mom,the netherlands,leiden umc,alzheimer,10.1016/j.stemcr.2022.04.006,candidate,na,no,2022,iron-immune interactions in alzheimer's disease,https://hdl.handle.net/1887/3307817,NA,FALSE,gold,2213-6711,Stem Cell Reports,Elsevier BV,2022-05-01
5,boyd kenkhuis,willeke roon-mom,the netherlands,leiden umc,alzheimer,10.1089/nat.2021.0005,supervisor,last,no,2022,iron-immune interactions in alzheimer's disease,https://hdl.handle.net/1887/3307818,NA,FALSE,hybrid,"2159-3337,2159-3345",Nucleic Acid Therapeutics,Mary Ann Liebert Inc,2021-10-01
5,boyd kenkhuis,willeke roon-mom,the netherlands,leiden umc,alzheimer,10.1016/j.scr.2019.101498,supervisor,last,yes,2022,iron-immune interactions in alzheimer's disease,https://hdl.handle.net/1887/3307819,NA,FALSE,gold,1873-5061,Stem Cell Research,Elsevier BV,2019-08-01
5,boyd kenkhuis,willeke roon-mom,the netherlands,leiden umc,alzheimer,10.1016/j.scr.2018.101359,supervisor,last,yes,2022,iron-immune interactions in alzheimer's disease,https://hdl.handle.net/1887/3307820,NA,FALSE,gold,1873-5061,Stem Cell Research,Elsevier BV,2019-01-01
5,boyd kenkhuis,willeke roon-mom,the netherlands,leiden umc,alzheimer,10.1016/j.omtn.2017.06.019,supervisor,last,no,2022,iron-immune interactions in alzheimer's disease,https://hdl.handle.net/1887/3307821,NA,FALSE,gold,2162-2531,Molecular Therapy - Nucleic Acids,Elsevier BV,2017-09-01
5,boyd kenkhuis,willeke roon-mom,the netherlands,leiden umc,alzheimer,10.1089/nat.2017.0705,supervisor,last,no,2022,iron-immune interactions in alzheimer's disease,https://hdl.handle.net/1887/3307822,NA,FALSE,green,"2159-3337,2159-3345",Nucleic Acid Therapeutics,Mary Ann Liebert Inc,2018-04-01
5,boyd kenkhuis,willeke roon-mom,the netherlands,leiden umc,alzheimer,10.1186/s13024-018-0261-9,supervisor,last,no,2022,iron-immune interactions in alzheimer's disease,https://hdl.handle.net/1887/3307823,NA,FALSE,gold,1750-1326,Molecular Neurodegeneration,Springer Science and Business Media LLC,2018-06-22
6,robert t m van dongen,michel d ferrari,the netherlands,leiden umc,migraine,10.1111/head.14046,candidate,na,no,2022,migraine biochemistry and visual snow,https://hdl.handle.net/1887/3281284,NA,FALSE,hybrid,"0017-8748,1526-4610",Headache: The Journal of Head and Face Pain,Wiley,2021-01-16
6,robert t m van dongen,michel d ferrari,the netherlands,leiden umc,migraine,10.1111/ene.14914,candidate,na,no,2022,migraine biochemistry and visual snow,https://hdl.handle.net/1887/3281285,NA,FALSE,hybrid,"1351-5101,1468-1331",European Journal of Neurology,Wiley,2021-05-12
6,robert t m van dongen,michel d ferrari,the netherlands,leiden umc,migraine,10.1016/S0140-6736(19)31946-4,supervisor,first,no,2022,migraine biochemistry and visual snow,https://hdl.handle.net/1887/3281286,NA,FALSE,closed,0140-6736,The Lancet,Elsevier BV,2019-09-01
6,robert t m van dongen,michel d ferrari,the netherlands,leiden umc,migraine,10.1111/head.13344,supervisor,last,no,2022,migraine biochemistry and visual snow,https://hdl.handle.net/1887/3281287,NA,FALSE,hybrid,0017-8748,Headache: The Journal of Head and Face Pain,Wiley,2018-06-22
6,robert t m van dongen,michel d ferrari,the netherlands,leiden umc,migraine,10.1212/WNL.0000000000005855,supervisor,last,no,2022,migraine biochemistry and visual snow,https://hdl.handle.net/1887/3281288,NA,FALSE,closed,"0028-3878,1526-632X",Neurology,Ovid Technologies (Wolters Kluwer Health),2018-06-27
6,robert t m van dongen,michel d ferrari,the netherlands,leiden umc,migraine,10.1177/0333102419876920,supervisor,last,no,2022,migraine biochemistry and visual snow,https://hdl.handle.net/1887/3281290,NA,FALSE,hybrid,"0333-1024,1468-2982",Cephalalgia,SAGE Publications,2019-09-15
6,robert t m van dongen,michel d ferrari,the netherlands,leiden umc,migraine,10.1111/head.14294,supervisor,first,no,2022,migraine biochemistry and visual snow,https://hdl.handle.net/1887/3281291,NA,FALSE,hybrid,"0017-8748,1526-4610",Headache: The Journal of Head and Face Pain,Wiley,2022-04-06
6,robert t m van dongen,michel d ferrari,the netherlands,leiden umc,migraine,10.1136/jnnp-2021-327480,supervisor,first,no,2022,migraine biochemistry and visual snow,https://hdl.handle.net/1887/3281292,NA,FALSE,hybrid,"0022-3050,1468-330X","Journal of Neurology, Neurosurgery & Psychiatry",BMJ,2021-11-29
7,jonas matthias den heijer,geert jan groeneveld,the netherlands,leiden umc,genetics,10.1111/bcp.14772,candidate,na,no,2022,genetic and clinical pharmacology studies in gba1-associated parkinson's disease,https://hdl.handle.net/1887/3281326,NA,FALSE,hybrid,"0306-5251,1365-2125",British Journal of Clinical Pharmacology,Wiley,2021-03-02
7,jonas matthias den heijer,geert jan groeneveld,the netherlands,leiden umc,genetics,10.1038/s41598-020-80564-y,candidate,na,no,2022,genetic and clinical pharmacology studies in gba1-associated parkinson's disease,https://hdl.handle.net/1887/3281327,NA,FALSE,gold,2045-2322,Scientific Reports,Springer Science and Business Media LLC,2021-01-08
7,jonas matthias den heijer,geert jan groeneveld,the netherlands,leiden umc,genetics,10.1002/mds.28112,candidate,na,no,2022,genetic and clinical pharmacology studies in gba1-associated parkinson's disease,https://hdl.handle.net/1887/3281328,NA,FALSE,hybrid,"0885-3185,1531-8257",Movement Disorders,Wiley,2020-07-02
7,jonas matthias den heijer,geert jan groeneveld,the netherlands,leiden umc,genetics,10.1002/cpt.1615,supervisor,last,no,2022,genetic and clinical pharmacology studies in gba1-associated parkinson's disease,https://hdl.handle.net/1887/3281329,NA,FALSE,closed,"0009-9236,1532-6535",Clinical Pharmacology & Therapeutics,Wiley,2019-09-25
7,jonas matthias den heijer,geert jan groeneveld,the netherlands,leiden umc,genetics,10.1002/trc2.12093,supervisor,last,no,2022,genetic and clinical pharmacology studies in gba1-associated parkinson's disease,https://hdl.handle.net/1887/3281330,NA,FALSE,gold,"2352-8737,2352-8737",Alzheimer's & Dementia: Translational Research & Clinical Interventions,Wiley,2020-01-01
7,jonas matthias den heijer,geert jan groeneveld,the netherlands,leiden umc,genetics,10.1002/jcph.1913,supervisor,last,no,2022,genetic and clinical pharmacology studies in gba1-associated parkinson's disease,https://hdl.handle.net/1887/3281331,NA,FALSE,hybrid,"0091-2700,1552-4604",The Journal of Clinical Pharmacology,Wiley,2021-07-29
7,jonas matthias den heijer,geert jan groeneveld,the netherlands,leiden umc,genetics,10.1111/bcp.15206,supervisor,last,no,2022,genetic and clinical pharmacology studies in gba1-associated parkinson's disease,https://hdl.handle.net/1887/3281332,NA,FALSE,green,"0306-5251,1365-2125",British Journal of Clinical Pharmacology,Wiley,2021-12-28
7,jonas matthias den heijer,geert jan groeneveld,the netherlands,leiden umc,genetics,10.1111/bcp.14656,supervisor,last,no,2022,genetic and clinical pharmacology studies in gba1-associated parkinson's disease,https://hdl.handle.net/1887/3281333,NA,FALSE,hybrid,"0306-5251,1365-2125",British Journal of Clinical Pharmacology,Wiley,2020-12-29
7,jonas matthias den heijer,geert jan groeneveld,the netherlands,leiden umc,genetics,10.1111/bcp.14872,supervisor,last,no,2022,genetic and clinical pharmacology studies in gba1-associated parkinson's disease,https://hdl.handle.net/1887/3281334,NA,FALSE,hybrid,"0306-5251,1365-2125",British Journal of Clinical Pharmacology,Wiley,2021-05-08
7,jonas matthias den heijer,geert jan groeneveld,the netherlands,leiden umc,genetics,10.1111/bcp.14158,supervisor,last,no,2022,genetic and clinical pharmacology studies in gba1-associated parkinson's disease,https://hdl.handle.net/1887/3281335,NA,FALSE,green,"0306-5251,1365-2125",British Journal of Clinical Pharmacology,Wiley,2019-12-12
8,fathimah s sigit,frits r rosendaal,the netherlands,leiden umc,obesity,10.1186/s13098-019-0503-1,candidate,na,no,2022,obesity and metabolic syndrome: from clinical to public health perspectives: results from population-based studies of the dutch and indonesian populations,https://hdl.handle.net/1887/3281238,NA,FALSE,gold,1758-5996,Diabetology & Metabolic Syndrome,Springer Science and Business Media LLC,2020-01-07
8,fathimah s sigit,frits r rosendaal,the netherlands,leiden umc,obesity,10.1016/j.numecd.2021.05.012,candidate,na,no,2022,obesity and metabolic syndrome: from clinical to public health perspectives: results from population-based studies of the dutch and indonesian populations,https://hdl.handle.net/1887/3281239,NA,FALSE,hybrid,0939-4753,"Nutrition, Metabolism and Cardiovascular Diseases",Elsevier BV,2021-07-01
8,fathimah s sigit,frits r rosendaal,the netherlands,leiden umc,obesity,10.1038/s41366-021-01014-x,candidate,na,no,2022,obesity and metabolic syndrome: from clinical to public health perspectives: results from population-based studies of the dutch and indonesian populations,https://hdl.handle.net/1887/3281240,NA,FALSE,closed,"0307-0565,1476-5497",International Journal of Obesity,Springer Science and Business Media LLC,2021-11-06
8,fathimah s sigit,frits r rosendaal,the netherlands,leiden umc,obesity,10.1016/j.thromres.2020.01.021,supervisor,last,no,2022,obesity and metabolic syndrome: from clinical to public health perspectives: results from population-based studies of the dutch and indonesian populations,https://hdl.handle.net/1887/3281241,NA,FALSE,hybrid,0049-3848,Thrombosis Research,Elsevier BV,2020-04-01
8,fathimah s sigit,frits r rosendaal,the netherlands,leiden umc,obesity,10.1182/bloodadvances.2017007955,supervisor,last,no,2022,obesity and metabolic syndrome: from clinical to public health perspectives: results from population-based studies of the dutch and indonesian populations,https://hdl.handle.net/1887/3281242,NA,FALSE,green,"2473-9529,2473-9537",Blood Advances,American Society of Hematology,2017-06-20
8,fathimah s sigit,frits r rosendaal,the netherlands,leiden umc,obesity,10.1182/blood-2017-06-791756,supervisor,first,no,2022,obesity and metabolic syndrome: from clinical to public health perspectives: results from population-based studies of the dutch and indonesian populations,https://hdl.handle.net/1887/3281243,NA,FALSE,bronze,"0006-4971,1528-0020",Blood,American Society of Hematology,2017-10-12
8,fathimah s sigit,frits r rosendaal,the netherlands,leiden umc,obesity,10.1111/jth.13883,supervisor,last,no,2022,obesity and metabolic syndrome: from clinical to public health perspectives: results from population-based studies of the dutch and indonesian populations,https://hdl.handle.net/1887/3281244,NA,FALSE,bronze,1538-7933,Journal of Thrombosis and Haemostasis,Wiley,2017-11-23
8,fathimah s sigit,frits r rosendaal,the netherlands,leiden umc,obesity,10.1016/j.joca.2019.10.002,supervisor,last,no,2022,obesity and metabolic syndrome: from clinical to public health perspectives: results from population-based studies of the dutch and indonesian populations,https://hdl.handle.net/1887/3281245,NA,FALSE,bronze,1063-4584,Osteoarthritis and Cartilage,Elsevier BV,2020-02-01
9,ana luiza cabral de sa Leitao oliveira,lioe-fee de geus-oei,the netherlands,leiden umc,cancer,10.1016/j.msec.2020.111678,candidate,na,no,2022,biological evaluations of nanocarriers to improve the effectiveness of colorectal cancer treatment,https://hdl.handle.net/1887/3280009,NA,FALSE,hybrid,0928-4931,Materials Science and Engineering: C,Elsevier BV,2021-01-01
9,ana luiza cabral de sa Leitao oliveira,lioe-fee de geus-oei,the netherlands,leiden umc,cancer,10.3390/pharmaceutics12020193,candidate,na,no,2022,biological evaluations of nanocarriers to improve the effectiveness of colorectal cancer treatment,https://hdl.handle.net/1887/3280010,NA,FALSE,green,1999-4923,Pharmaceutics,MDPI AG,2020-02-23
9,ana luiza cabral de sa Leitao oliveira,lioe-fee de geus-oei,the netherlands,leiden umc,cancer,10.1007/s00330-019-06334-1,supervisor,last,no,2022,biological evaluations of nanocarriers to improve the effectiveness of colorectal cancer treatment,https://hdl.handle.net/1887/3280011,NA,FALSE,hybrid,"0938-7994,1432-1084",European Radiology,Springer Science and Business Media LLC,2019-07-23
9,ana luiza cabral de sa Leitao oliveira,lioe-fee de geus-oei,the netherlands,leiden umc,cancer,10.3390/diagnostics11122271,supervisor,last,no,2022,biological evaluations of nanocarriers to improve the effectiveness of colorectal cancer treatment,https://hdl.handle.net/1887/3280012,NA,FALSE,gold,2075-4418,Diagnostics,MDPI AG,2021-12-04
9,ana luiza cabral de sa Leitao oliveira,lioe-fee de geus-oei,the netherlands,leiden umc,cancer,10.1055/a-1542-6211,supervisor,last,no,2022,biological evaluations of nanocarriers to improve the effectiveness of colorectal cancer treatment,https://hdl.handle.net/1887/3280013,NA,FALSE,green,"0029-5566,2567-6407",Nuklearmedizin - NuclearMedicine,Georg Thieme Verlag KG,2021-09-03
9,ana luiza cabral de sa Leitao oliveira,lioe-fee de geus-oei,the netherlands,leiden umc,cancer,10.2967/jnumed.117.191171,supervisor,last,no,2022,biological evaluations of nanocarriers to improve the effectiveness of colorectal cancer treatment,https://hdl.handle.net/1887/3280014,NA,FALSE,bronze,"0161-5505,2159-662X",Journal of Nuclear Medicine,Society of Nuclear Medicine,2017-05-10
