pair,phd_candidate,supervisor,country,institute,subfield,doi,owner,position_author_supervisor,concern_methods_tools_devlpmnt_or_review,thesis_year,thesis_title,thesis_link,oa_status_unpaywall,issn,journal,publisher,publication_date_unpaywall,is_open_data,open_data_category,is_open_code,open_data_statements,open_code_statements,downloaded,oa_status
1,isabelle ree,enrico lopriore,the netherlands,leiden umc,neonatology,10.1016/j.placenta.2017.02.023,supervisor,last,no,2022,optimising neonatal management of haemolytic disease of the foetus and newborn,https://hdl.handle.net/1887/3284943,hybrid,0143-4004,Placenta,Elsevier BV,01/04/2017,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
1,isabelle ree,enrico lopriore,the netherlands,leiden umc,neonatology,10.1016/j.placenta.2017.07.008,supervisor,last,no,2022,optimising neonatal management of haemolytic disease of the foetus and newborn,https://hdl.handle.net/1887/3284944,closed,0143-4004,Placenta,Elsevier BV,01/09/2017,FALSE,NA,FALSE,NA,NA,TRUE,FALSE
1,isabelle ree,enrico lopriore,the netherlands,leiden umc,neonatology,10.1016/j.eclinm.2021.100725,supervisor,last,no,2022,optimising neonatal management of haemolytic disease of the foetus and newborn,https://hdl.handle.net/1887/3284944,gold,2589-5370,EClinicalMedicine,Elsevier BV,01/02/2021,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.1167/iovs.62.4.3,candidate,na,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283451,gold,1552-5783,Investigative Opthalmology & Visual Science,Association for Research in Vision and Ophthalmology (ARVO),02/04/2021,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.1016/j.ajo.2020.09.009,candidate,na,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283452,hybrid,0002-9394,American Journal of Ophthalmology,Elsevier BV,01/02/2021,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.1097/IAE.0000000000002719,candidate,na,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283453,hybrid,0275-004X,Retina,Ovid Technologies (Wolters Kluwer Health),17/12/2019,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.3390/cancers11070979,candidate,na,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283454,gold,2072-6694,Cancers,MDPI AG,13/07/2019,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.3390/cancers11071004,candidate,na,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283455,gold,2072-6694,Cancers,MDPI AG,18/07/2019,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.1007/s00417-019-04342-x,candidate,na,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283456,hybrid,"0721-832X,1435-702X",Graefe's Archive for Clinical and Experimental Ophthalmology,Springer Science and Business Media LLC,16/05/2019,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.1136/bjophthalmol-2018-312018,candidate,na,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283457,closed,"0007-1161,1468-2079",British Journal of Ophthalmology,BMJ,18/05/2018,FALSE,NA,FALSE,NA,NA,TRUE,FALSE
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.3390/cancers13174445,supervisor,last,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283458,gold,2072-6694,Cancers,MDPI AG,03/09/2021,TRUE,"field-specific repository, data availability statement",FALSE,data availability statement: data from the leiden cohort are partially accessible through geo accession number gse84976 (https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?      data availability statement: data from the leiden cohort are partially accessible through geo accession number gse84976,NA,TRUE,TRUE
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.3390/cancers12123690,supervisor,last,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283459,gold,2072-6694,Cancers,MDPI AG,09/12/2020,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.3390/cancers13164020,supervisor,last,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283460,gold,2072-6694,Cancers,MDPI AG,10/08/2021,TRUE,"field-specific repository, data availability statement",FALSE,data availability statement: data from the leiden cohort are accessible through geo series accession number gse84976 (https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?      data availability statement: data from the leiden cohort are accessible through geo series accession number gse84976,NA,TRUE,TRUE
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.3390/cancers13164146,supervisor,last,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283461,gold,2072-6694,Cancers,MDPI AG,18/08/2021,TRUE,"field-specific repository, data availability statement",FALSE,data availability statement: data from the leiden cohort are accessible through geo series accession number gse84976 (https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?      data availability statement: data from the leiden cohort are accessible through geo series accession number gse84976,NA,TRUE,TRUE
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.1167/iovs.19-28309,supervisor,last,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283462,gold,1552-5783,Investigative Opthalmology & Visual Science,Association for Research in Vision and Ophthalmology (ARVO),15/11/2019,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.1159/000509918,supervisor,last,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283463,hybrid,"2296-4681,2296-4657",Ocular Oncology and Pathology,S. Karger AG,15/12/2020,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.1167/iovs.16-20212,supervisor,last,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283464,gold,1552-5783,Investigative Opthalmology & Visual Science,Association for Research in Vision and Ophthalmology (ARVO),13/02/2017,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.3390/cancers11081102,supervisor,last,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283465,gold,2072-6694,Cancers,MDPI AG,02/08/2019,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.3390/cancers11081104,supervisor,last,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283466,gold,2072-6694,Cancers,MDPI AG,02/08/2019,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
3,martine hendriksma,peter paul van benthem,the netherlands,leiden umc,cancer,10.3390/cancers11091319,candidate,na,no,2022,management of t1-t2 glottic carcinoma: with a specific focus on t2 glottic carcinoma,https://hdl.handle.net/1887/3283522,gold,2072-6694,Cancers,MDPI AG,06/09/2019,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
3,martine hendriksma,peter paul van benthem,the netherlands,leiden umc,cancer,10.1007/s00405-019-05348-1,candidate,na,no,2022,management of t1-t2 glottic carcinoma: with a specific focus on t2 glottic carcinoma,https://hdl.handle.net/1887/3283523,hybrid,"0937-4477,1434-4726",European Archives of Oto-Rhino-Laryngology,Springer Science and Business Media LLC,27/02/2019,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
3,martine hendriksma,peter paul van benthem,the netherlands,leiden umc,cancer,10.1007/s00405-018-5070-9,candidate,na,yes,2022,management of t1-t2 glottic carcinoma: with a specific focus on t2 glottic carcinoma,https://hdl.handle.net/1887/3283524,hybrid,"0937-4477,1434-4726",European Archives of Oto-Rhino-Laryngology,Springer Science and Business Media LLC,19/07/2018,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
3,martine hendriksma,peter paul van benthem,the netherlands,leiden umc,cancer,10.1111/coa.13675,supervisor,last,no,2022,management of t1-t2 glottic carcinoma: with a specific focus on t2 glottic carcinoma,https://hdl.handle.net/1887/3283525,hybrid,"1749-4478,1749-4486",Clinical Otolaryngology,Wiley,13/12/2020,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
3,martine hendriksma,peter paul van benthem,the netherlands,leiden umc,cancer,10.1002/dneu.22786,supervisor,last,no,2022,management of t1-t2 glottic carcinoma: with a specific focus on t2 glottic carcinoma,https://hdl.handle.net/1887/3283526,hybrid,"1932-8451,1932-846X",Developmental Neurobiology,Wiley,01/11/2020,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
3,martine hendriksma,peter paul van benthem,the netherlands,leiden umc,cancer,10.1136/bmjopen-2020-046840,supervisor,last,no,2022,management of t1-t2 glottic carcinoma: with a specific focus on t2 glottic carcinoma,https://hdl.handle.net/1887/3283527,gold,"2044-6055,2044-6055",BMJ Open,BMJ,01/07/2021,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
3,martine hendriksma,peter paul van benthem,the netherlands,leiden umc,cancer,10.1097/MAO.0000000000002270,supervisor,last,yes,2022,management of t1-t2 glottic carcinoma: with a specific focus on t2 glottic carcinoma,https://hdl.handle.net/1887/3283528,closed,"1531-7129,1537-4505",Otology & Neurotology,Ovid Technologies (Wolters Kluwer Health),01/08/2019,FALSE,NA,FALSE,NA,NA,TRUE,FALSE
4,david emanuel schmidt,masja de haas,the netherlands,leiden umc,neonatology,10.1111/jth.15232,candidate,na,no,2022,individualized prognosis in childhood immune thrombocytopenia,https://hdl.handle.net/1887/3281832,hybrid,"1538-7933,1538-7836",Journal of Thrombosis and Haemostasis,Wiley,18/03/2021,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
4,david emanuel schmidt,masja de haas,the netherlands,leiden umc,neonatology,10.1111/jth.15125,candidate,na,no,2022,individualized prognosis in childhood immune thrombocytopenia,https://hdl.handle.net/1887/3281833,hybrid,"1538-7933,1538-7836",Journal of Thrombosis and Haemostasis,Wiley,27/11/2020,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
4,david emanuel schmidt,masja de haas,the netherlands,leiden umc,neonatology,10.1111/jth.14762,candidate,na,no,2022,individualized prognosis in childhood immune thrombocytopenia,https://hdl.handle.net/1887/3281834,hybrid,"1538-7933,1538-7836",Journal of Thrombosis and Haemostasis,Wiley,12/04/2020,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
4,david emanuel schmidt,masja de haas,the netherlands,leiden umc,neonatology,10.1182/bloodadvances.2019000068,candidate,na,no,2022,individualized prognosis in childhood immune thrombocytopenia,https://hdl.handle.net/1887/3281835,gold,"2473-9529,2473-9537",Blood Advances,American Society of Hematology,03/07/2019,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
4,david emanuel schmidt,masja de haas,the netherlands,leiden umc,neonatology,10.1016/j.thromres.2019.03.022,candidate,na,no,2022,individualized prognosis in childhood immune thrombocytopenia,https://hdl.handle.net/1887/3281836,closed,0049-3848,Thrombosis Research,Elsevier BV,01/06/2019,FALSE,NA,FALSE,NA,NA,TRUE,FALSE
4,david emanuel schmidt,masja de haas,the netherlands,leiden umc,neonatology,10.3390/ijms22136763,supervisor,last,no,2022,individualized prognosis in childhood immune thrombocytopenia,https://hdl.handle.net/1887/3281837,green,1422-0067,International Journal of Molecular Sciences,MDPI AG,23/06/2021,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
4,david emanuel schmidt,masja de haas,the netherlands,leiden umc,neonatology,10.3324/haematol.2018.189365,supervisor,last,no,2022,individualized prognosis in childhood immune thrombocytopenia,https://hdl.handle.net/1887/3281838,gold,"0390-6078,1592-8721",Haematologica,Ferrata Storti Foundation (Haematologica),01/06/2018,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
4,david emanuel schmidt,masja de haas,the netherlands,leiden umc,neonatology,10.1111/bjh.17731,supervisor,last,no,2022,individualized prognosis in childhood immune thrombocytopenia,https://hdl.handle.net/1887/3281839,hybrid,"0007-1048,1365-2141",British Journal of Haematology,Wiley,16/08/2021,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
4,david emanuel schmidt,masja de haas,the netherlands,leiden umc,neonatology,10.1080/09537104.2019.1572877,supervisor,last,no,2022,individualized prognosis in childhood immune thrombocytopenia,https://hdl.handle.net/1887/3281840,closed,"0953-7104,1369-1635",Platelets,Informa UK Limited,13/02/2019,FALSE,NA,FALSE,NA,NA,TRUE,FALSE
4,david emanuel schmidt,masja de haas,the netherlands,leiden umc,neonatology,10.1111/trf.16276,supervisor,last,no,2022,individualized prognosis in childhood immune thrombocytopenia,https://hdl.handle.net/1887/3281841,green,"0041-1132,1537-2995",Transfusion,Wiley,02/02/2021,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
4,david emanuel schmidt,masja de haas,the netherlands,leiden umc,neonatology,10.1111/vox.12883,supervisor,last,no,2022,individualized prognosis in childhood immune thrombocytopenia,https://hdl.handle.net/1887/3281842,hybrid,"0042-9007,1423-0410",Vox Sanguinis,Wiley,01/04/2020,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
4,david emanuel schmidt,masja de haas,the netherlands,leiden umc,neonatology,10.1111/trf.15631,supervisor,last,no,2022,individualized prognosis in childhood immune thrombocytopenia,https://hdl.handle.net/1887/3281843,closed,"0041-1132,1537-2995",Transfusion,Wiley,23/12/2019,FALSE,NA,FALSE,NA,NA,TRUE,FALSE
5,boyd kenkhuis,willeke roon-mom,the netherlands,leiden umc,alzheimer,10.1016/j.nbd.2022.105684,candidate,na,no,2022,iron-immune interactions in alzheimer's disease,https://hdl.handle.net/1887/3307816,gold,0969-9961,Neurobiology of Disease,Elsevier BV,01/03/2022,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
5,boyd kenkhuis,willeke roon-mom,the netherlands,leiden umc,alzheimer,10.1016/j.stemcr.2022.04.006,candidate,na,no,2022,iron-immune interactions in alzheimer's disease,https://hdl.handle.net/1887/3307817,gold,2213-6711,Stem Cell Reports,Elsevier BV,01/05/2022,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
5,boyd kenkhuis,willeke roon-mom,the netherlands,leiden umc,alzheimer,10.1089/nat.2021.0005,supervisor,last,no,2022,iron-immune interactions in alzheimer's disease,https://hdl.handle.net/1887/3307818,hybrid,"2159-3337,2159-3345",Nucleic Acid Therapeutics,Mary Ann Liebert Inc,01/10/2021,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
5,boyd kenkhuis,willeke roon-mom,the netherlands,leiden umc,alzheimer,10.1016/j.scr.2019.101498,supervisor,last,yes,2022,iron-immune interactions in alzheimer's disease,https://hdl.handle.net/1887/3307819,gold,1873-5061,Stem Cell Research,Elsevier BV,01/08/2019,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
5,boyd kenkhuis,willeke roon-mom,the netherlands,leiden umc,alzheimer,10.1016/j.scr.2018.101359,supervisor,last,yes,2022,iron-immune interactions in alzheimer's disease,https://hdl.handle.net/1887/3307820,gold,1873-5061,Stem Cell Research,Elsevier BV,01/01/2019,TRUE,supplement,FALSE,all data mentioned are presented in table 2,NA,TRUE,TRUE
5,boyd kenkhuis,willeke roon-mom,the netherlands,leiden umc,alzheimer,10.1016/j.omtn.2017.06.019,supervisor,last,no,2022,iron-immune interactions in alzheimer's disease,https://hdl.handle.net/1887/3307821,gold,2162-2531,Molecular Therapy - Nucleic Acids,Elsevier BV,01/09/2017,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
5,boyd kenkhuis,willeke roon-mom,the netherlands,leiden umc,alzheimer,10.1089/nat.2017.0705,supervisor,last,no,2022,iron-immune interactions in alzheimer's disease,https://hdl.handle.net/1887/3307822,green,"2159-3337,2159-3345",Nucleic Acid Therapeutics,Mary Ann Liebert Inc,01/04/2018,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
5,boyd kenkhuis,willeke roon-mom,the netherlands,leiden umc,alzheimer,10.1186/s13024-018-0261-9,supervisor,last,no,2022,iron-immune interactions in alzheimer's disease,https://hdl.handle.net/1887/3307823,gold,1750-1326,Molecular Neurodegeneration,Springer Science and Business Media LLC,22/06/2018,TRUE,"field-specific repository, supplement",FALSE,the brain rna sequencing data can be accessed at geo repository gse107958.     additional file 5: canonical pathways ingenuity. (xlsx,NA,TRUE,TRUE
6,robert t m van dongen,michel d ferrari,the netherlands,leiden umc,migraine,10.1111/head.14046,candidate,na,no,2022,migraine biochemistry and visual snow,https://hdl.handle.net/1887/3281284,hybrid,"0017-8748,1526-4610",Headache: The Journal of Head and Face Pain,Wiley,16/01/2021,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
6,robert t m van dongen,michel d ferrari,the netherlands,leiden umc,migraine,10.1111/ene.14914,candidate,na,no,2022,migraine biochemistry and visual snow,https://hdl.handle.net/1887/3281285,hybrid,"1351-5101,1468-1331",European Journal of Neurology,Wiley,12/05/2021,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
6,robert t m van dongen,michel d ferrari,the netherlands,leiden umc,migraine,10.1016/S0140-6736(19)31946-4,supervisor,first,no,2022,migraine biochemistry and visual snow,https://hdl.handle.net/1887/3281286,closed,0140-6736,The Lancet,Elsevier BV,01/09/2019,FALSE,NA,FALSE,NA,NA,TRUE,FALSE
6,robert t m van dongen,michel d ferrari,the netherlands,leiden umc,migraine,10.1111/head.13344,supervisor,last,no,2022,migraine biochemistry and visual snow,https://hdl.handle.net/1887/3281287,hybrid,0017-8748,Headache: The Journal of Head and Face Pain,Wiley,22/06/2018,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
6,robert t m van dongen,michel d ferrari,the netherlands,leiden umc,migraine,10.1212/WNL.0000000000005855,supervisor,last,no,2022,migraine biochemistry and visual snow,https://hdl.handle.net/1887/3281288,closed,"0028-3878,1526-632X",Neurology,Ovid Technologies (Wolters Kluwer Health),27/06/2018,FALSE,NA,FALSE,NA,NA,TRUE,FALSE
6,robert t m van dongen,michel d ferrari,the netherlands,leiden umc,migraine,10.1177/0333102419876920,supervisor,last,no,2022,migraine biochemistry and visual snow,https://hdl.handle.net/1887/3281290,hybrid,"0333-1024,1468-2982",Cephalalgia,SAGE Publications,15/09/2019,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
6,robert t m van dongen,michel d ferrari,the netherlands,leiden umc,migraine,10.1111/head.14294,supervisor,first,no,2022,migraine biochemistry and visual snow,https://hdl.handle.net/1887/3281291,hybrid,"0017-8748,1526-4610",Headache: The Journal of Head and Face Pain,Wiley,06/04/2022,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
6,robert t m van dongen,michel d ferrari,the netherlands,leiden umc,migraine,10.1136/jnnp-2021-327480,supervisor,first,no,2022,migraine biochemistry and visual snow,https://hdl.handle.net/1887/3281292,hybrid,"0022-3050,1468-330X","Journal of Neurology, Neurosurgery & Psychiatry",BMJ,29/11/2021,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
7,jonas matthias den heijer,geert jan groeneveld,the netherlands,leiden umc,genetics,10.1111/bcp.14772,candidate,na,no,2022,genetic and clinical pharmacology studies in gba1-associated parkinson's disease,https://hdl.handle.net/1887/3281326,hybrid,"0306-5251,1365-2125",British Journal of Clinical Pharmacology,Wiley,02/03/2021,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
7,jonas matthias den heijer,geert jan groeneveld,the netherlands,leiden umc,genetics,10.1038/s41598-020-80564-y,candidate,na,no,2022,genetic and clinical pharmacology studies in gba1-associated parkinson's disease,https://hdl.handle.net/1887/3281327,gold,2045-2322,Scientific Reports,Springer Science and Business Media LLC,08/01/2021,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
7,jonas matthias den heijer,geert jan groeneveld,the netherlands,leiden umc,genetics,10.1002/mds.28112,candidate,na,no,2022,genetic and clinical pharmacology studies in gba1-associated parkinson's disease,https://hdl.handle.net/1887/3281328,hybrid,"0885-3185,1531-8257",Movement Disorders,Wiley,02/07/2020,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
7,jonas matthias den heijer,geert jan groeneveld,the netherlands,leiden umc,genetics,10.1002/cpt.1615,supervisor,last,no,2022,genetic and clinical pharmacology studies in gba1-associated parkinson's disease,https://hdl.handle.net/1887/3281329,closed,"0009-9236,1532-6535",Clinical Pharmacology & Therapeutics,Wiley,25/09/2019,FALSE,NA,FALSE,NA,NA,TRUE,FALSE
7,jonas matthias den heijer,geert jan groeneveld,the netherlands,leiden umc,genetics,10.1002/trc2.12093,supervisor,last,no,2022,genetic and clinical pharmacology studies in gba1-associated parkinson's disease,https://hdl.handle.net/1887/3281330,gold,"2352-8737,2352-8737",Alzheimer's & Dementia: Translational Research & Clinical Interventions,Wiley,01/01/2020,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
7,jonas matthias den heijer,geert jan groeneveld,the netherlands,leiden umc,genetics,10.1002/jcph.1913,supervisor,last,no,2022,genetic and clinical pharmacology studies in gba1-associated parkinson's disease,https://hdl.handle.net/1887/3281331,hybrid,"0091-2700,1552-4604",The Journal of Clinical Pharmacology,Wiley,29/07/2021,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
7,jonas matthias den heijer,geert jan groeneveld,the netherlands,leiden umc,genetics,10.1111/bcp.15206,supervisor,last,no,2022,genetic and clinical pharmacology studies in gba1-associated parkinson's disease,https://hdl.handle.net/1887/3281332,green,"0306-5251,1365-2125",British Journal of Clinical Pharmacology,Wiley,28/12/2021,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
7,jonas matthias den heijer,geert jan groeneveld,the netherlands,leiden umc,genetics,10.1111/bcp.14656,supervisor,last,no,2022,genetic and clinical pharmacology studies in gba1-associated parkinson's disease,https://hdl.handle.net/1887/3281333,hybrid,"0306-5251,1365-2125",British Journal of Clinical Pharmacology,Wiley,29/12/2020,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
7,jonas matthias den heijer,geert jan groeneveld,the netherlands,leiden umc,genetics,10.1111/bcp.14872,supervisor,last,no,2022,genetic and clinical pharmacology studies in gba1-associated parkinson's disease,https://hdl.handle.net/1887/3281334,hybrid,"0306-5251,1365-2125",British Journal of Clinical Pharmacology,Wiley,08/05/2021,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
7,jonas matthias den heijer,geert jan groeneveld,the netherlands,leiden umc,genetics,10.1111/bcp.14158,supervisor,last,no,2022,genetic and clinical pharmacology studies in gba1-associated parkinson's disease,https://hdl.handle.net/1887/3281335,green,"0306-5251,1365-2125",British Journal of Clinical Pharmacology,Wiley,12/12/2019,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
8,fathimah s sigit,frits r rosendaal,the netherlands,leiden umc,obesity,10.1186/s13098-019-0503-1,candidate,na,no,2022,obesity and metabolic syndrome: from clinical to public health perspectives: results from population-based studies of the dutch and indonesian populations,https://hdl.handle.net/1887/3281238,gold,1758-5996,Diabetology & Metabolic Syndrome,Springer Science and Business Media LLC,07/01/2020,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
8,fathimah s sigit,frits r rosendaal,the netherlands,leiden umc,obesity,10.1016/j.numecd.2021.05.012,candidate,na,no,2022,obesity and metabolic syndrome: from clinical to public health perspectives: results from population-based studies of the dutch and indonesian populations,https://hdl.handle.net/1887/3281239,hybrid,0939-4753,"Nutrition, Metabolism and Cardiovascular Diseases",Elsevier BV,01/07/2021,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
