referenceid	timestamp_started	timestamp_finished	pair	phd_candidate	supervisor	country	institute	subfield	pmid	owner	position_author_supervisor	concern_methods_tools_devlpmnt_or_review	thesis_year	thesis_title	thesis_link	doi	oa_status	issn	journal	publisher	publication_date_unpaywall	is_open_data	open_data_category	is_open_code	open_data_statements	open_code_statements	downloaded	open_methods_yn	unsure_explanation	type_of_open_methods_trial_registration_number	type_of_open_methods_preregistration	type_of_open_methods_protocol	type_of_open_methods_open_notebook	type_of_open_methods_open_code	type_of_open_methods_Other	link_open_methods	public_link_open_methods	additional_remarks
161	2022-02-15 07:41:23	2022-02-15 07:41:27	16	Alexander F Lipka	Verschuuren, J.J.G.M.	Netherlands	Leiden UMC	autoimmunity	30882021	supervisor	last	no	2021	Autoimmunity at the neuromuscular synapse: pathophysiology and disease course	https://hdl.handle.net/1887/3246848	10.1212/nxi.0000000000000547	gold	2332-7812	Neurology - Neuroimmunology Neuroinflammation	Ovid Technologies (Wolters Kluwer Health)	21.02.2019	FALSE		FALSE			TRUE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
164	2022-02-15 07:41:34	2022-02-15 07:41:38	16	Alexander F Lipka	Verschuuren, J.J.G.M.	Netherlands	Leiden UMC	autoimmunity	30851266	supervisor	last	no	2021	Autoimmunity at the neuromuscular synapse: pathophysiology and disease course	https://hdl.handle.net/1887/3246848	10.1016/j.expneurol.2019.03.001	hybrid	0014-4886	Experimental Neurology	Elsevier BV	01.07.2019	FALSE		FALSE			TRUE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
172	2022-02-15 07:41:48	2022-02-15 07:44:47	17	Annelieke C Kruithof	Jacobus Burggraaf	Netherlands	Leiden UMC	drug_development	29845427	supervisor	last	no	2021	Evaluating the effects of sugammadex on coagulation in humans: reversed translational research to unravel off-target pharmacology	https://hdl.handle.net/1887/3247173	10.1007/s11307-018-1220-0	hybrid	1536-1632,1860-2002	Molecular Imaging and Biology	Springer Science and Business Media LLC	29.05.2018	FALSE		FALSE			TRUE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
175	2022-02-15 07:44:55	2022-02-15 07:45:00	17	Annelieke C Kruithof	Jacobus Burggraaf	Netherlands	Leiden UMC	drug_development	29293280	supervisor	last	no	2021	Evaluating the effects of sugammadex on coagulation in humans: reversed translational research to unravel off-target pharmacology	https://hdl.handle.net/1887/3247173	10.1111/bcp.13497	hybrid	0306-5251	British Journal of Clinical Pharmacology	Wiley	12.02.2018	FALSE		FALSE			TRUE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
187	2022-02-15 07:45:16	2022-02-15 07:47:30	20	Christoph Gst?ttner	Manfred Wuhrer	Netherlands	Leiden UMC	medical_chemistry	31086181	supervisor	last	no	2021	Boosting mass spectrometry-based analytics for biopharma	https://hdl.handle.net/1887/3245884	10.1038/s41467-019-09910-7	gold	2041-1723	Nature Communications	Springer Science and Business Media LLC	13.05.2019	TRUE	field-specific repository, supplement, data availability statement	FALSE	data availability the raw mass spectrometric data 		TRUE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
192	2022-02-15 07:47:07	2022-02-15 07:48:51	20	Christoph Gst?ttner	Manfred Wuhrer	Netherlands	Leiden UMC	medical_chemistry	30230816	supervisor	last	no	2021	Boosting mass spectrometry-based analytics for biopharma	https://hdl.handle.net/1887/3245884	10.1021/acs.analchem.8b02391	hybrid	0003-2700,1520-6882	Analytical Chemistry	American Chemical Society (ACS)	19.09.2018	FALSE		FALSE			TRUE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
200	2022-02-15 07:48:59	2022-02-15 07:49:03	21	Rachid Abou	Jeroen J Bax	Netherlands	Leiden UMC	cardiology	27807057	supervisor	last	no	2021	The role of advanced echocardiography in patients with ischemic heart disease	https://hdl.handle.net/1887/3243601	10.1093/eurheartj/ehw499	bronze	0195-668X,1522-9645	European Heart Journal	Oxford University Press (OUP)	02.11.2016	FALSE		FALSE			TRUE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
224	2022-02-15 07:49:13	2022-02-15 07:49:17	24	Edouard L. Fu	Friedo W. Dekker	Netherlands	Leiden UMC	cardiology	31340963	supervisor	last	no	2021	Optimal cardiovascular treatment strategies in kidney disease: causal inference from observational data	https://hdl.handle.net/1887/3221348	10.1136/bmjopen-2018-028034	gold	2044-6055,2044-6055	BMJ Open	BMJ	01.07.2019	FALSE		FALSE			TRUE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
238	2022-02-15 07:49:26	2022-02-15 07:49:29	25	Loes Soetens	Jacco Wallinga	Netherlands	Leiden UMC	epidemiology	29534768	supervisor	last	no	2021	Patterns and scales in infectious disease surveillance data: an exploratory data analysis approach	https://hdl.handle.net/1887/3247049	10.1017/s0950268818000481	green	0950-2688,1469-4409	Epidemiology and Infection	Cambridge University Press (CUP)	14.03.2018	FALSE		FALSE			TRUE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
271	2022-02-15 07:49:40	2022-02-15 07:51:00	30	Renate M Hoogeveen	E.S.G. Kroes	Netherlands	Amsterdam UMC	vascular_biology	31422119	candidate	na	no	2021	From targeting major cardiovascular players to precision medicine	https://hdl.handle.net/11245.1/b6f7cfc6-2a36-45bd-bccb-46871da257be	10.1016/j.jcmg.2019.06.022	closed	1936-878X	JACC: Cardiovascular Imaging	Elsevier BV	01.12.2019	FALSE		FALSE			TRUE	No	Letter to the Editor	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
272	2022-02-15 07:51:12	2022-02-15 07:51:16	30	Renate M Hoogeveen	E.S.G. Kroes	Netherlands	Amsterdam UMC	vascular_biology	33602971	candidate	na	no	2021	From targeting major cardiovascular players to precision medicine	https://hdl.handle.net/11245.1/b6f7cfc6-2a36-45bd-bccb-46871da257be	10.1038/s41598-021-83273-2	gold	2045-2322	Scientific Reports	Springer Science and Business Media LLC	18.02.2021	FALSE		FALSE			TRUE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
273	2022-02-15 07:51:24	2022-02-15 07:53:56	31	Marit Navis	R.M. van Elburg	Netherlands	Amsterdam UMC	epidemiology	31998285	supervisor	last	no	2021	From in vitro to in vivo models, and the impact of early life nutrition	https://hdl.handle.net/11245.1/856901ab-6b10-4e58-b5f6-4b222d3bb825	10.3389/fimmu.2019.02939	gold	1664-3224	Frontiers in Immunology	Frontiers Media SA	10.01.2020	FALSE		FALSE			TRUE	Yes	NULL	1	NULL	1	NULL	NULL	NULL	https://clinicaltrials.gov/ct2/show/NCT02536560?term=NCT02536560&draw=2&rank=1 AND https://bmcpediatr.biomedcentral.com/articles/10.1186/s12887-015-0519-0	Yes	NULL
3	2022-02-21 07:21:43	2022-02-21 07:21:48	3	Uzair Ali Khan	Hermann Brenner	Germany	Universitat Heidelberg	cancer	30639539	supervisor	last	no	2020	Colorectal cancer risk prediction and risk-adapted colorectal cancer screening in patients with diabetes mellitus	http://archiv.ub.uni-heidelberg.de/volltextserver/30612/1/AliKhan_Uzair_24_07_1994_Dissertation.pdf	10.1016/j.gie.2018.12.021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
7	2022-02-21 07:21:50	2022-02-21 07:21:53	5	Frank Gabel	Stefan Listl	Germany	Universitat Heidelberg	dentistry	29342371	supervisor	last	no	2020	Empirical methods for causal inference	http://archiv.ub.uni-heidelberg.de/volltextserver/30690/1/dissertation_Gabel.pdf	10.1177/0022034517750572	closed	0022-0345,1544-0591	Journal of Dental Research	SAGE Publications	17.01.2018	NA	NA	NA	NA	NA	FALSE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
10	2022-02-21 07:21:56	2022-02-21 07:21:59	9	Shi Lei	Shi Lei	Germany	Ludwig-Maximilians-Universit	immunology	30460117	supervisor	last	no	2021	In-vitro investigation of the impact of methadone on 5-ALA-PDT	https://edoc.ub.uni-muenchen.de/28976/1/Shi_Lei.pdf	10.1364/boe.9.005115	gold	2156-7085,2156-7085	Biomedical Optics Express	The Optical Society	02.10.2018	NA	NA	NA	NA	NA	FALSE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
13	2022-02-21 07:24:17	2022-02-21 07:25:27	11	Maximilian Grosch	Sibylle Ziegler	Germany	Ludwig-Maximilians-Universit	neurology	28976912	supervisor	last	no	2021	Metabolic brain connectivity after acute unilateral vestibulopathy: Longitudinal analysis and single subject classification in the rat.	https://edoc.ub.uni-muenchen.de/28874/7/Grosch_Maximilian.pdf	10.1088/1361-6560/aa910d	closed	1361-6560	Physics in Medicine & Biology	IOP Publishing	01.11.2017	NA	NA	NA	NA	NA	FALSE	No	References a NEMA 2008 protocol, but for me it is behind a paywall: https://www.nema.org/standards/view/Performance-Measurements-of-Small-Animal-Positron-Emission-Tomographs 	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
19	2022-02-21 07:25:30	2022-02-21 07:25:32	17	Annelieke C Kruithof	Jacobus Burggraaf	Netherlands	Leiden UMC	drug_development	33155541	candidate	na	no	2021	Evaluating the effects of sugammadex on coagulation in humans: reversed translational research to unravel off-target pharmacology	https://hdl.handle.net/1887/3247173	10.5414/cp203858	closed	0946-1965	Int. Journal of Clinical Pharmacology and Therapeutics	Dustri-Verlgag Dr. Karl Feistle	01.02.2021	NA	NA	NA	NA	NA	FALSE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
23	2022-02-21 07:25:35	2022-02-21 07:25:37	19	Koen T van Hamersveld	Rob G H H Nelissen	Netherlands	Leiden UMC	orthopedics	28522446	supervisor	last	no	2021	Risk factors for long-term failure of orthopaedic medical devices: taking advantage of RSA as an early detection tool	https://hdl.handle.net/1887/3245131	10.1302/2046-3758.65.bjr-2016-0308.r1	gold	2046-3758	Bone & Joint Research	British Editorial Society of Bone & Joint Surgery	01.05.2017	NA	NA	NA	NA	NA	FALSE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
26	2022-02-21 07:25:42	2022-02-21 07:25:48	19	Koen T van Hamersveld	Rob G H H Nelissen	Netherlands	Leiden UMC	orthopedics	31274722	candidate	na	no	2021	Risk factors for long-term failure of orthopaedic medical devices: taking advantage of RSA as an early detection tool	https://hdl.handle.net/1887/3245131	10.2106/jbjs.18.00691	closed	0021-9355,1535-1386	Journal of Bone and Joint Surgery	Ovid Technologies (Wolters Kluwer Health)	03.07.2019	NA	NA	NA	NA	NA	FALSE	No	methods point to a paper they are based on, but that paper is not Open Access	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
33	2022-02-21 07:25:51	2022-02-21 07:25:54	24	Edouard L. Fu	Friedo W. Dekker	Netherlands	Leiden UMC	cardiology	33246024	candidate	na	no	2021	Optimal cardiovascular treatment strategies in kidney disease: causal inference from observational data	https://hdl.handle.net/1887/3221348	10.1053/j.ajkd.2020.10.006	hybrid	0272-6386	American Journal of Kidney Diseases	Elsevier BV	01.05.2021	NA	NA	NA	NA	NA	FALSE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
38	2022-02-21 07:25:57	2022-02-21 07:26:00	25	Loes Soetens	Jacco Wallinga	Netherlands	Leiden UMC	epidemiology	29087987	candidate	na	no	2021	Patterns and scales in infectious disease surveillance data: an exploratory data analysis approach	https://hdl.handle.net/1887/3247049	10.1097/ede.0000000000000776	green	1044-3983	Epidemiology	Ovid Technologies (Wolters Kluwer Health)	01.03.2018	NA	NA	NA	NA	NA	FALSE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
46	2022-02-21 07:26:03	2022-02-21 07:34:54	1	Sabrina T Wiebe	Gerd Mikus	Germany	Universitat Heidelberg	drug_development	30828771	supervisor	last	no	2020	Midazolam Microdosing and Population Pharmacokinetic Modelling to Assess CYP3A Drug-Drug Interactions in Early Clinical Development	http://archiv.ub.uni-heidelberg.de/volltextserver/29312/1/WIEBE_Doktorarbeit_Final.pdf	10.1007/s40262-019-00749-1	closed	0312-5963,1179-1926	Clinical Pharmacokinetics	Springer Science and Business Media LLC	04.03.2019	FALSE		FALSE			TRUE	Unsure	The publication states: Study Protocol EudraCT 2016-003024-23, but I do not find anything (perhaps I'm not using the search function correctly).	0	0	0	0	NULL	NULL	NULL		NULL
84	2022-02-21 07:35:00	2022-02-21 07:35:05	5	Frank Gabel	Stefan Listl	Germany	Universitat Heidelberg	dentistry	29408150	supervisor	last	no	2020	Empirical methods for causal inference	http://archiv.ub.uni-heidelberg.de/volltextserver/30690/1/dissertation_Gabel.pdf	10.1016/j.jhealeco.2017.12.005	hybrid	0167-6296	Journal of Health Economics	Elsevier BV	01.03.2018	FALSE		FALSE			TRUE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
85	2022-02-21 07:35:16	2022-02-21 07:35:19	5	Frank Gabel	Stefan Listl	Germany	Universitat Heidelberg	dentistry	30203091	supervisor	last	no	2020	Empirical methods for causal inference	http://archiv.ub.uni-heidelberg.de/volltextserver/30690/1/dissertation_Gabel.pdf	10.1093/aje/kwy205	closed	0002-9262,1476-6256	American Journal of Epidemiology	Oxford University Press (OUP)	07.09.2018	FALSE		FALSE			TRUE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
86	2022-02-21 07:35:24	2022-02-21 07:35:26	5	Frank Gabel	Stefan Listl	Germany	Universitat Heidelberg	dentistry	31307491	supervisor	last	no	2020	Empirical methods for causal inference	http://archiv.ub.uni-heidelberg.de/volltextserver/30690/1/dissertation_Gabel.pdf	10.1186/s12960-019-0394-0	gold	1478-4491	Human Resources for Health	Springer Science and Business Media LLC	15.07.2019	FALSE		FALSE			TRUE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
89	2022-02-21 07:35:29	2022-02-21 07:35:32	5	Frank Gabel	Stefan Listl	Germany	Universitat Heidelberg	dentistry	29535207	candidate	na	no	2020	Empirical methods for causal inference	http://archiv.ub.uni-heidelberg.de/volltextserver/30690/1/dissertation_Gabel.pdf	10.1136/jech-2017-210210	closed	0143-005X,1470-2738	Journal of Epidemiology and Community Health	BMJ	13.03.2018	FALSE		FALSE			TRUE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
90	2022-02-21 07:35:35	2022-02-21 07:35:38	5	Frank Gabel	Stefan Listl	Germany	Universitat Heidelberg	dentistry	31984624	candidate	na	no	2020	Empirical methods for causal inference	http://archiv.ub.uni-heidelberg.de/volltextserver/30690/1/dissertation_Gabel.pdf	10.1002/hec.3997	hybrid	1057-9230,1099-1050	Health Economics	Wiley	26.01.2020	FALSE		FALSE			TRUE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
91	2022-02-21 07:35:43	2022-02-21 07:35:47	6	Andreas Staudt	Ulrich John	Germany	Universitat Heidelberg	public_health	32115002	supervisor	first	no	2020	Screening for at-risk alcohol use: The challenge of temporal changes in alcohol consumption	https://epub.ub.uni-greifswald.de/frontdoor/deliver/index/docId/4496/file/Diss_Staudt_komplett_PDF.pdf	10.1192/j.eurpsy.2020.27	gold	0924-9338,1778-3585	European Psychiatry	Royal College of Psychiatrists	01.01.2020	FALSE		FALSE			TRUE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
97	2022-02-21 07:35:50	2022-02-21 07:35:54	6	Andreas Staudt	Ulrich John	Germany	Universitat Heidelberg	public_health	32311098	candidate	na	no	2020	Screening for at-risk alcohol use: The challenge of temporal changes in alcohol consumption	https://epub.ub.uni-greifswald.de/frontdoor/deliver/index/docId/4496/file/Diss_Staudt_komplett_PDF.pdf	10.1111/acer.14340	hybrid	0145-6008,1530-0277	Alcoholism: Clinical and Experimental Research	Wiley	15.05.2020	FALSE		FALSE			TRUE	Yes	NULL	1	NULL	NULL	NULL	NULL	NULL	https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00014274	Yes	NULL
102	2022-02-21 07:35:56	2022-02-21 08:02:23	7	Michael Lacy	J	Germany	Universitat Heidelberg	vascular_biology	28292897	supervisor	last	no	2021	Screening for at-risk alcohol use: The challenge of temporal changes in alcohol consumption	https://epub.ub.uni-greifswald.de/frontdoor/deliver/index/docId/4496/file/Diss_Staudt_komplett_PDF.pdf	10.1073/pnas.1618411114	green	0027-8424,1091-6490	Proceedings of the National Academy of Sciences	Proceedings of the National Academy of Sciences	14.03.2017	FALSE		FALSE			TRUE	Unsure	They link to a detailed description as a supplement, how do we want to treat that, see: https://www.pnas.org/content/pnas/suppl/2017/03/13/1618411114.DCSupplemental/pnas.1618411114.sapp.pdf 	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
103	2022-02-21 07:45:11	2022-02-21 07:45:14	7	Michael Lacy	J	Germany	Universitat Heidelberg	vascular_biology	33565160	supervisor	last	no	2021	Screening for at-risk alcohol use: The challenge of temporal changes in alcohol consumption	https://epub.ub.uni-greifswald.de/frontdoor/deliver/index/docId/4496/file/Diss_Staudt_komplett_PDF.pdf	10.1002/jlb.3a0420-242rrr	hybrid	0741-5400,1938-3673	Journal of Leukocyte Biology	Wiley	10.02.2021	FALSE		FALSE			TRUE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
109	2022-02-21 07:45:18	2022-02-21 07:45:37	8	Nicole Tonya Erickson	Volker Heinemann	Germany	Ludwig-Maximilians-Universit	cancer	29047142	supervisor	last	no	2021	Establishing patient-centered nutrition screening for German speaking oncology patients	https://edoc.ub.uni-muenchen.de/29055/7/Erickson_Nicole_Tonya.pdf	10.1002/ijc.31114	bronze	0020-7136,1097-0215	International Journal of Cancer	Wiley	07.11.2017	FALSE		FALSE			TRUE	Yes	NULL	1	NULL	NULL	NULL	NULL	NULL	https://www.clinicaltrials.gov/ct2/show/NCT00433927?term=NCT00433927&draw=2&rank=1 AND PARTLY ALSO https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(14)70330-4/fulltext	Yes	NULL
115	2022-02-21 07:45:41	2022-02-21 07:45:44	9	Shi Lei	Shi Lei	Germany	Ludwig-Maximilians-Universit	immunology	29095508	supervisor	last	no	2021	In-vitro investigation of the impact of methadone on 5-ALA-PDT	https://edoc.ub.uni-muenchen.de/28976/1/Shi_Lei.pdf	10.1002/lsm.22738	closed	0196-8092	Lasers in Surgery and Medicine	Wiley	02.11.2017	FALSE		FALSE			TRUE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
120	2022-02-21 07:45:48	2022-02-21 07:45:50	9	Shi Lei	Shi Lei	Germany	Ludwig-Maximilians-Universit	immunology	33616996	supervisor	last	no	2021	In-vitro investigation of the impact of methadone on 5-ALA-PDT	https://edoc.ub.uni-muenchen.de/28976/1/Shi_Lei.pdf	10.1002/lsm.23365	closed	0196-8092,1096-9101	Lasers in Surgery and Medicine	Wiley	08.12.2020	FALSE		FALSE			TRUE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
121	2022-02-21 07:45:53	2022-02-21 07:45:56	9	Shi Lei	Shi Lei	Germany	Ludwig-Maximilians-Universit	immunology	31140754	candidate	na	no	2021	In-vitro investigation of the impact of methadone on 5-ALA-PDT	https://edoc.ub.uni-muenchen.de/28976/1/Shi_Lei.pdf	10.1002/jbio.201800468	closed	1864-063X,1864-0648	Journal of Biophotonics	Wiley	04.07.2019	FALSE		FALSE			TRUE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
131	2022-02-21 07:45:59	2022-02-21 07:47:04	11	Maximilian Grosch	Sibylle Ziegler	Germany	Ludwig-Maximilians-Universit	neurology	27914956	supervisor	last	no	2021	Metabolic brain connectivity after acute unilateral vestibulopathy: Longitudinal analysis and single subject classification in the rat.	https://edoc.ub.uni-muenchen.de/28874/7/Grosch_Maximilian.pdf	10.1016/j.compmedimag.2016.11.005	closed	0895-6111	Computerized Medical Imaging and Graphics	Elsevier BV	01.09.2017	FALSE		FALSE			TRUE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
145	2022-02-21 07:47:08	2022-02-21 07:47:11	13	Taylor A Breuniger	Jakob Linseisen	Germany	Ludwig-Maximilians-Universit	public_health	31126078	supervisor	last	no	2021	Habitual Diet, the Gut Microbiota, Fecal Metabolites and their Associations with Metabolic Diseases: Results from a Population-based Study	https://edoc.ub.uni-muenchen.de/28665/7/Breuninger_Taylor_A.pdf	10.3390/nu11051151	gold	2072-6643	Nutrients	MDPI AG	23.05.2019	FALSE		FALSE			TRUE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
