pair,phd_candidate,supervisor,country,institute,subfield,doi,owner,position_author_supervisor,concern_methods_tools_devlpmnt_or_review,thesis_year,thesis_title,thesis_link
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.1097/IAE.0000000000002719,candidate,na,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283453
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.3390/cancers11070979,candidate,na,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283454
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.3390/cancers11071004,candidate,na,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283455
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.1007/s00417-019-04342-x,candidate,na,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283456
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.1136/bjophthalmol-2018-312018,candidate,na,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283457
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.3390/cancers13174445,supervisor,last,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283458
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.3390/cancers12123690,supervisor,last,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283459
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.3390/cancers13164020,supervisor,last,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283460
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.3390/cancers13164146,supervisor,last,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283461
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.1167/iovs.19-28309,supervisor,last,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283462
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.1159/000509918,supervisor,last,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283463
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.1167/iovs.16-20212,supervisor,last,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283464
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.3390/cancers11081102,supervisor,last,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283465
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.3390/cancers11081104,supervisor,last,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283466
3,martine hendriksma,peter paul van benthem,the netherlands,leiden umc,cancer,10.3390/cancers11091319,candidate,na,no,2022,management of t1-t2 glottic carcinoma: with a specific focus on t2 glottic carcinoma,https://hdl.handle.net/1887/3283522
3,martine hendriksma,peter paul van benthem,the netherlands,leiden umc,cancer,10.1007/s00405-019-05348-1,candidate,na,no,2022,management of t1-t2 glottic carcinoma: with a specific focus on t2 glottic carcinoma,https://hdl.handle.net/1887/3283523
3,martine hendriksma,peter paul van benthem,the netherlands,leiden umc,cancer,10.1007/s00405-018-5070-9,candidate,na,yes,2022,management of t1-t2 glottic carcinoma: with a specific focus on t2 glottic carcinoma,https://hdl.handle.net/1887/3283524
3,martine hendriksma,peter paul van benthem,the netherlands,leiden umc,cancer,10.1111/coa.13675,supervisor,last,no,2022,management of t1-t2 glottic carcinoma: with a specific focus on t2 glottic carcinoma,https://hdl.handle.net/1887/3283525
3,martine hendriksma,peter paul van benthem,the netherlands,leiden umc,cancer,10.1002/dneu.22786,supervisor,last,no,2022,management of t1-t2 glottic carcinoma: with a specific focus on t2 glottic carcinoma,https://hdl.handle.net/1887/3283526
3,martine hendriksma,peter paul van benthem,the netherlands,leiden umc,cancer,10.1136/bmjopen-2020-046840,supervisor,last,no,2022,management of t1-t2 glottic carcinoma: with a specific focus on t2 glottic carcinoma,https://hdl.handle.net/1887/3283527
3,martine hendriksma,peter paul van benthem,the netherlands,leiden umc,cancer,10.1097/MAO.0000000000002270,supervisor,last,yes,2022,management of t1-t2 glottic carcinoma: with a specific focus on t2 glottic carcinoma,https://hdl.handle.net/1887/3283528
4,david emanuel schmidt,masja de haas,the netherlands,leiden umc,neonatology,10.1111/jth.15232,candidate,na,no,2022,individualized prognosis in childhood immune thrombocytopenia,https://hdl.handle.net/1887/3281832
4,david emanuel schmidt,masja de haas,the netherlands,leiden umc,neonatology,10.1111/jth.15125,candidate,na,no,2022,individualized prognosis in childhood immune thrombocytopenia,https://hdl.handle.net/1887/3281833
4,david emanuel schmidt,masja de haas,the netherlands,leiden umc,neonatology,10.1111/jth.14762,candidate,na,no,2022,individualized prognosis in childhood immune thrombocytopenia,https://hdl.handle.net/1887/3281834
4,david emanuel schmidt,masja de haas,the netherlands,leiden umc,neonatology,10.1182/bloodadvances.2019000068,candidate,na,no,2022,individualized prognosis in childhood immune thrombocytopenia,https://hdl.handle.net/1887/3281835
4,david emanuel schmidt,masja de haas,the netherlands,leiden umc,neonatology,10.1016/j.thromres.2019.03.022,candidate,na,no,2022,individualized prognosis in childhood immune thrombocytopenia,https://hdl.handle.net/1887/3281836
4,david emanuel schmidt,masja de haas,the netherlands,leiden umc,neonatology,10.3390/ijms22136763,supervisor,last,no,2022,individualized prognosis in childhood immune thrombocytopenia,https://hdl.handle.net/1887/3281837
4,david emanuel schmidt,masja de haas,the netherlands,leiden umc,neonatology,10.3324/haematol.2018.189365,supervisor,last,no,2022,individualized prognosis in childhood immune thrombocytopenia,https://hdl.handle.net/1887/3281838
4,david emanuel schmidt,masja de haas,the netherlands,leiden umc,neonatology,10.1111/bjh.17731,supervisor,last,no,2022,individualized prognosis in childhood immune thrombocytopenia,https://hdl.handle.net/1887/3281839
4,david emanuel schmidt,masja de haas,the netherlands,leiden umc,neonatology,10.1080/09537104.2019.1572877,supervisor,last,no,2022,individualized prognosis in childhood immune thrombocytopenia,https://hdl.handle.net/1887/3281840
4,david emanuel schmidt,masja de haas,the netherlands,leiden umc,neonatology,10.1111/trf.16276,supervisor,last,no,2022,individualized prognosis in childhood immune thrombocytopenia,https://hdl.handle.net/1887/3281841
4,david emanuel schmidt,masja de haas,the netherlands,leiden umc,neonatology,10.1111/vox.12883,supervisor,last,no,2022,individualized prognosis in childhood immune thrombocytopenia,https://hdl.handle.net/1887/3281842
4,david emanuel schmidt,masja de haas,the netherlands,leiden umc,neonatology,10.1111/trf.15631,supervisor,last,no,2022,individualized prognosis in childhood immune thrombocytopenia,https://hdl.handle.net/1887/3281843
5,annelore van dalen-kok,wilco achterberg,the netherlands,leiden umc,pain,10.1093/ageing/afaa247,candidate,na,no,2022,"pain and its consequences in dementia: observing the complex relationship between pain, behaviour and adl in nursing home residents",https://hdl.handle.net/1887/3281202
5,annelore van dalen-kok,wilco achterberg,the netherlands,leiden umc,pain,10.2217/pmt-2019-0025,candidate,na,no,2022,"pain and its consequences in dementia: observing the complex relationship between pain, behaviour and adl in nursing home residents",https://hdl.handle.net/1887/3281203
5,annelore van dalen-kok,wilco achterberg,the netherlands,leiden umc,pain,10.1186/s12877-018-0948-3,supervisor,last,no,2022,"pain and its consequences in dementia: observing the complex relationship between pain, behaviour and adl in nursing home residents",https://hdl.handle.net/1887/3281204
5,annelore van dalen-kok,wilco achterberg,the netherlands,leiden umc,pain,10.1007/s12603-020-1436-y,supervisor,last,no,2022,"pain and its consequences in dementia: observing the complex relationship between pain, behaviour and adl in nursing home residents",https://hdl.handle.net/1887/3281205
5,annelore van dalen-kok,wilco achterberg,the netherlands,leiden umc,pain,10.1080/13607863.2021.1891199,supervisor,last,no,2022,"pain and its consequences in dementia: observing the complex relationship between pain, behaviour and adl in nursing home residents",https://hdl.handle.net/1887/3281206
5,annelore van dalen-kok,wilco achterberg,the netherlands,leiden umc,pain,10.1016/j.jamda.2020.08.006,supervisor,last,no,2022,"pain and its consequences in dementia: observing the complex relationship between pain, behaviour and adl in nursing home residents",https://hdl.handle.net/1887/3281207
5,annelore van dalen-kok,wilco achterberg,the netherlands,leiden umc,pain,10.1016/j.jamda.2020.07.022,supervisor,last,no,2022,"pain and its consequences in dementia: observing the complex relationship between pain, behaviour and adl in nursing home residents",https://hdl.handle.net/1887/3281208
5,annelore van dalen-kok,wilco achterberg,the netherlands,leiden umc,pain,10.1093/pm/pnx268,supervisor,last,no,2022,"pain and its consequences in dementia: observing the complex relationship between pain, behaviour and adl in nursing home residents",https://hdl.handle.net/1887/3281209
5,annelore van dalen-kok,wilco achterberg,the netherlands,leiden umc,pain,10.3390/healthcare9070905,supervisor,last,no,2022,"pain and its consequences in dementia: observing the complex relationship between pain, behaviour and adl in nursing home residents",https://hdl.handle.net/1887/3281210
5,annelore van dalen-kok,wilco achterberg,the netherlands,leiden umc,pain,10.3390/brainsci11070869,supervisor,last,no,2022,"pain and its consequences in dementia: observing the complex relationship between pain, behaviour and adl in nursing home residents",https://hdl.handle.net/1887/3281211
5,annelore van dalen-kok,wilco achterberg,the netherlands,leiden umc,pain,10.2147/CIA.S185112,supervisor,last,no,2022,"pain and its consequences in dementia: observing the complex relationship between pain, behaviour and adl in nursing home residents",https://hdl.handle.net/1887/3281212
6,robert t m van dongen,michel d ferrari,the netherlands,leiden umc,migraine,10.1111/head.14046,candidate,na,no,2022,migraine biochemistry and visual snow,https://hdl.handle.net/1887/3281284
6,robert t m van dongen,michel d ferrari,the netherlands,leiden umc,migraine,10.1111/ene.14914,candidate,na,no,2022,migraine biochemistry and visual snow,https://hdl.handle.net/1887/3281285
6,robert t m van dongen,michel d ferrari,the netherlands,leiden umc,migraine,10.1016/S0140-6736(19)31946-4,supervisor,first,no,2022,migraine biochemistry and visual snow,https://hdl.handle.net/1887/3281286
6,robert t m van dongen,michel d ferrari,the netherlands,leiden umc,migraine,10.1111/head.13344,supervisor,last,no,2022,migraine biochemistry and visual snow,https://hdl.handle.net/1887/3281287
6,robert t m van dongen,michel d ferrari,the netherlands,leiden umc,migraine,10.1212/WNL.0000000000005855,supervisor,last,no,2022,migraine biochemistry and visual snow,https://hdl.handle.net/1887/3281288
6,robert t m van dongen,michel d ferrari,the netherlands,leiden umc,migraine,10.1177/0333102419876920,supervisor,last,no,2022,migraine biochemistry and visual snow,https://hdl.handle.net/1887/3281290
6,robert t m van dongen,michel d ferrari,the netherlands,leiden umc,migraine,10.1111/head.14294,supervisor,first,no,2022,migraine biochemistry and visual snow,https://hdl.handle.net/1887/3281291
6,robert t m van dongen,michel d ferrari,the netherlands,leiden umc,migraine,10.1136/jnnp-2021-327480,supervisor,first,no,2022,migraine biochemistry and visual snow,https://hdl.handle.net/1887/3281292
7,jonas matthias den heijer,geert jan groeneveld,the netherlands,leiden umc,genetics,10.1111/bcp.14772,candidate,na,no,2022,genetic and clinical pharmacology studies in gba1-associated parkinson's disease,https://hdl.handle.net/1887/3281326
7,jonas matthias den heijer,geert jan groeneveld,the netherlands,leiden umc,genetics,10.1038/s41598-020-80564-y,candidate,na,no,2022,genetic and clinical pharmacology studies in gba1-associated parkinson's disease,https://hdl.handle.net/1887/3281327
7,jonas matthias den heijer,geert jan groeneveld,the netherlands,leiden umc,genetics,10.1002/mds.28112,candidate,na,no,2022,genetic and clinical pharmacology studies in gba1-associated parkinson's disease,https://hdl.handle.net/1887/3281328
7,jonas matthias den heijer,geert jan groeneveld,the netherlands,leiden umc,genetics,10.1002/cpt.1615,supervisor,last,no,2022,genetic and clinical pharmacology studies in gba1-associated parkinson's disease,https://hdl.handle.net/1887/3281329
7,jonas matthias den heijer,geert jan groeneveld,the netherlands,leiden umc,genetics,10.1002/trc2.12093,supervisor,last,no,2022,genetic and clinical pharmacology studies in gba1-associated parkinson's disease,https://hdl.handle.net/1887/3281330
7,jonas matthias den heijer,geert jan groeneveld,the netherlands,leiden umc,genetics,10.1002/jcph.1913,supervisor,last,no,2022,genetic and clinical pharmacology studies in gba1-associated parkinson's disease,https://hdl.handle.net/1887/3281331
7,jonas matthias den heijer,geert jan groeneveld,the netherlands,leiden umc,genetics,10.1111/bcp.15206,supervisor,last,no,2022,genetic and clinical pharmacology studies in gba1-associated parkinson's disease,https://hdl.handle.net/1887/3281332
7,jonas matthias den heijer,geert jan groeneveld,the netherlands,leiden umc,genetics,10.1111/bcp.14656,supervisor,last,no,2022,genetic and clinical pharmacology studies in gba1-associated parkinson's disease,https://hdl.handle.net/1887/3281333
7,jonas matthias den heijer,geert jan groeneveld,the netherlands,leiden umc,genetics,10.1111/bcp.14872,supervisor,last,no,2022,genetic and clinical pharmacology studies in gba1-associated parkinson's disease,https://hdl.handle.net/1887/3281334
7,jonas matthias den heijer,geert jan groeneveld,the netherlands,leiden umc,genetics,10.1111/bcp.14158,supervisor,last,no,2022,genetic and clinical pharmacology studies in gba1-associated parkinson's disease,https://hdl.handle.net/1887/3281335
8,fathimah s sigit,frits r rosendaal,the netherlands,leiden umc,obesity,10.1186/s13098-019-0503-1,candidate,na,no,2022,obesity and metabolic syndrome: from clinical to public health perspectives: results from population-based studies of the dutch and indonesian populations,https://hdl.handle.net/1887/3281238
8,fathimah s sigit,frits r rosendaal,the netherlands,leiden umc,obesity,10.1016/j.numecd.2021.05.012,candidate,na,no,2022,obesity and metabolic syndrome: from clinical to public health perspectives: results from population-based studies of the dutch and indonesian populations,https://hdl.handle.net/1887/3281239
8,fathimah s sigit,frits r rosendaal,the netherlands,leiden umc,obesity,10.1038/s41366-021-01014-x,candidate,na,no,2022,obesity and metabolic syndrome: from clinical to public health perspectives: results from population-based studies of the dutch and indonesian populations,https://hdl.handle.net/1887/3281240
8,fathimah s sigit,frits r rosendaal,the netherlands,leiden umc,obesity,10.1016/j.thromres.2020.01.021,supervisor,last,no,2022,obesity and metabolic syndrome: from clinical to public health perspectives: results from population-based studies of the dutch and indonesian populations,https://hdl.handle.net/1887/3281241
8,fathimah s sigit,frits r rosendaal,the netherlands,leiden umc,obesity,10.1182/bloodadvances.2017007955,supervisor,last,no,2022,obesity and metabolic syndrome: from clinical to public health perspectives: results from population-based studies of the dutch and indonesian populations,https://hdl.handle.net/1887/3281242
8,fathimah s sigit,frits r rosendaal,the netherlands,leiden umc,obesity,10.1182/blood-2017-06-791756,supervisor,first,no,2022,obesity and metabolic syndrome: from clinical to public health perspectives: results from population-based studies of the dutch and indonesian populations,https://hdl.handle.net/1887/3281243
8,fathimah s sigit,frits r rosendaal,the netherlands,leiden umc,obesity,10.1111/jth.13883,supervisor,last,no,2022,obesity and metabolic syndrome: from clinical to public health perspectives: results from population-based studies of the dutch and indonesian populations,https://hdl.handle.net/1887/3281244
8,fathimah s sigit,frits r rosendaal,the netherlands,leiden umc,obesity,10.1016/j.joca.2019.10.002,supervisor,last,no,2022,obesity and metabolic syndrome: from clinical to public health perspectives: results from population-based studies of the dutch and indonesian populations,https://hdl.handle.net/1887/3281245
9,ana luiza cabral de sa Leitao oliveira,lioe-fee de geus-oei,the netherlands,leiden umc,cancer,10.1016/j.msec.2020.111678,candidate,na,no,2022,biological evaluations of nanocarriers to improve the effectiveness of colorectal cancer treatment,https://hdl.handle.net/1887/3280009
9,ana luiza cabral de sa Leitao oliveira,lioe-fee de geus-oei,the netherlands,leiden umc,cancer,10.3390/pharmaceutics12020193,candidate,na,no,2022,biological evaluations of nanocarriers to improve the effectiveness of colorectal cancer treatment,https://hdl.handle.net/1887/3280010
9,ana luiza cabral de sa Leitao oliveira,lioe-fee de geus-oei,the netherlands,leiden umc,cancer,10.1007/s00330-019-06334-1,supervisor,last,no,2022,biological evaluations of nanocarriers to improve the effectiveness of colorectal cancer treatment,https://hdl.handle.net/1887/3280011
9,ana luiza cabral de sa Leitao oliveira,lioe-fee de geus-oei,the netherlands,leiden umc,cancer,10.3390/diagnostics11122271,supervisor,last,no,2022,biological evaluations of nanocarriers to improve the effectiveness of colorectal cancer treatment,https://hdl.handle.net/1887/3280012
9,ana luiza cabral de sa Leitao oliveira,lioe-fee de geus-oei,the netherlands,leiden umc,cancer,10.1055/a-1542-6211,supervisor,last,no,2022,biological evaluations of nanocarriers to improve the effectiveness of colorectal cancer treatment,https://hdl.handle.net/1887/3280013
9,ana luiza cabral de sa Leitao oliveira,lioe-fee de geus-oei,the netherlands,leiden umc,cancer,10.2967/jnumed.117.191171,supervisor,last,no,2022,biological evaluations of nanocarriers to improve the effectiveness of colorectal cancer treatment,https://hdl.handle.net/1887/3280014
9,ana luiza cabral de sa Leitao oliveira,lioe-fee de geus-oei,the netherlands,leiden umc,cancer,10.1007/s00261-019-02268-w,supervisor,last,no,2022,biological evaluations of nanocarriers to improve the effectiveness of colorectal cancer treatment,https://hdl.handle.net/1887/3280015
9,ana luiza cabral de sa Leitao oliveira,lioe-fee de geus-oei,the netherlands,leiden umc,cancer,10.1007/s00259-017-3912-0,supervisor,last,no,2022,biological evaluations of nanocarriers to improve the effectiveness of colorectal cancer treatment,https://hdl.handle.net/1887/3280016
9,ana luiza cabral de sa Leitao oliveira,lioe-fee de geus-oei,the netherlands,leiden umc,cancer,10.1016/j.phro.2018.08.003,supervisor,last,no,2022,biological evaluations of nanocarriers to improve the effectiveness of colorectal cancer treatment,https://hdl.handle.net/1887/3280017
10,danielle e j starreveld,eveline m a bleiker,the netherlands,leiden umc,cancer,10.3390/cancers13194948,candidate,na,no,2022,light therapy for cancer-related fatigue in (non-)hodgkin lymphoma survivors,https://hdl.handle.net/1887/3280245
10,danielle e j starreveld,eveline m a bleiker,the netherlands,leiden umc,cancer,10.1177/0748730420987327,candidate,na,no,2022,light therapy for cancer-related fatigue in (non-)hodgkin lymphoma survivors,https://hdl.handle.net/1887/3280246
10,danielle e j starreveld,eveline m a bleiker,the netherlands,leiden umc,cancer,10.1002/pon.4505,candidate,na,no,2022,light therapy for cancer-related fatigue in (non-)hodgkin lymphoma survivors,https://hdl.handle.net/1887/3280247
10,danielle e j starreveld,eveline m a bleiker,the netherlands,leiden umc,cancer,10.1016/j.breast.2020.12.001,supervisor,last,no,2022,light therapy for cancer-related fatigue in (non-)hodgkin lymphoma survivors,https://hdl.handle.net/1887/3280248
10,danielle e j starreveld,eveline m a bleiker,the netherlands,leiden umc,cancer,10.1002/pon.5356,supervisor,last,no,2022,light therapy for cancer-related fatigue in (non-)hodgkin lymphoma survivors,https://hdl.handle.net/1887/3280249
10,danielle e j starreveld,eveline m a bleiker,the netherlands,leiden umc,cancer,10.1111/hex.13368,supervisor,last,no,2022,light therapy for cancer-related fatigue in (non-)hodgkin lymphoma survivors,https://hdl.handle.net/1887/3280250
11,hugo thomas christian veger,jaap f hamming,the netherlands,leiden umc,vascular,10.1177/1538574420939733,candidate,na,no,2022,biomechanical studies on type b aortic dissection,https://hdl.handle.net/1887/3280049
11,hugo thomas christian veger,jaap f hamming,the netherlands,leiden umc,vascular,10.1177/15385744211017117,candidate,na,no,2022,biomechanical studies on type b aortic dissection,https://hdl.handle.net/1887/3280050
11,hugo thomas christian veger,jaap f hamming,the netherlands,leiden umc,vascular,10.1016/j.avsg.2019.02.032,supervisor,last,no,2022,biomechanical studies on type b aortic dissection,https://hdl.handle.net/1887/3280051
11,hugo thomas christian veger,jaap f hamming,the netherlands,leiden umc,vascular,10.2147/PPA.S309366,supervisor,last,no,2022,biomechanical studies on type b aortic dissection,https://hdl.handle.net/1887/3280052
11,hugo thomas christian veger,jaap f hamming,the netherlands,leiden umc,vascular,10.1016/j.avsg.2020.04.034,supervisor,last,no,2022,biomechanical studies on type b aortic dissection,https://hdl.handle.net/1887/3280053
11,hugo thomas christian veger,jaap f hamming,the netherlands,leiden umc,vascular,10.1016/j.avsg.2020.06.015,supervisor,last,no,2022,biomechanical studies on type b aortic dissection,https://hdl.handle.net/1887/3280054
11,hugo thomas christian veger,jaap f hamming,the netherlands,leiden umc,vascular,10.1097/SLA.0000000000003050,supervisor,last,no,2022,biomechanical studies on type b aortic dissection,https://hdl.handle.net/1887/3280055
11,hugo thomas christian veger,jaap f hamming,the netherlands,leiden umc,vascular,10.1016/j.jvs.2019.01.088,supervisor,last,no,2022,biomechanical studies on type b aortic dissection,https://hdl.handle.net/1887/3280056
11,hugo thomas christian veger,jaap f hamming,the netherlands,leiden umc,vascular,10.1111/iwj.13388,supervisor,last,no,2022,biomechanical studies on type b aortic dissection,https://hdl.handle.net/1887/3280057
12,quinten r ducarmon,ed j kuijper,the netherlands,leiden umc,microbiology,10.1128/mSystems.00547-19,candidate,na,no,2022,microbiome-mediated colonization resistance: defense against enteropathogens and multi-drug resistant organisms,https://hdl.handle.net/1887/3280022
12,quinten r ducarmon,ed j kuijper,the netherlands,leiden umc,microbiology,10.1080/19490976.2020.1840764,candidate,na,no,2022,microbiome-mediated colonization resistance: defense against enteropathogens and multi-drug resistant organisms,https://hdl.handle.net/1887/3280023
12,quinten r ducarmon,ed j kuijper,the netherlands,leiden umc,microbiology,10.1007/s10096-020-04049-6,supervisor,last,no,2022,microbiome-mediated colonization resistance: defense against enteropathogens and multi-drug resistant organisms,https://hdl.handle.net/1887/3280024
12,quinten r ducarmon,ed j kuijper,the netherlands,leiden umc,microbiology,10.1093/cid/ciz1122,supervisor,last,no,2022,microbiome-mediated colonization resistance: defense against enteropathogens and multi-drug resistant organisms,https://hdl.handle.net/1887/3280025
12,quinten r ducarmon,ed j kuijper,the netherlands,leiden umc,microbiology,10.1556/030.66.2019.023,supervisor,last,no,2022,microbiome-mediated colonization resistance: defense against enteropathogens and multi-drug resistant organisms,https://hdl.handle.net/1887/3280026
12,quinten r ducarmon,ed j kuijper,the netherlands,leiden umc,microbiology,10.1016/j.bbmt.2019.01.037,supervisor,last,no,2022,microbiome-mediated colonization resistance: defense against enteropathogens and multi-drug resistant organisms,https://hdl.handle.net/1887/3280028
12,quinten r ducarmon,ed j kuijper,the netherlands,leiden umc,microbiology,10.1371/journal.pone.0189183,supervisor,last,no,2022,microbiome-mediated colonization resistance: defense against enteropathogens and multi-drug resistant organisms,https://hdl.handle.net/1887/3280030
13,gerrit lourentius johannes onderwater,gisela m terwindt,the netherlands,leiden umc,migraine,10.1016/j.nicl.2021.102889,candidate,na,no,2022,biochemistry in different phases of the migraine attack,https://hdl.handle.net/1887/3294052
13,gerrit lourentius johannes onderwater,gisela m terwindt,the netherlands,leiden umc,migraine,10.1097/j.pain.0000000000001894,candidate,na,no,2022,biochemistry in different phases of the migraine attack,https://hdl.handle.net/1887/3294053
13,gerrit lourentius johannes onderwater,gisela m terwindt,the netherlands,leiden umc,migraine,10.1212/WNL.0000000000007313,candidate,na,no,2022,biochemistry in different phases of the migraine attack,https://hdl.handle.net/1887/3294054
13,gerrit lourentius johannes onderwater,gisela m terwindt,the netherlands,leiden umc,migraine,10.1111/ene.13861,candidate,na,no,2022,biochemistry in different phases of the migraine attack,https://hdl.handle.net/1887/3294055
13,gerrit lourentius johannes onderwater,gisela m terwindt,the netherlands,leiden umc,migraine,10.1212/WNL.0000000000012723,supervisor,last,no,2022,biochemistry in different phases of the migraine attack,https://hdl.handle.net/1887/3294057
13,gerrit lourentius johannes onderwater,gisela m terwindt,the netherlands,leiden umc,migraine,10.1177/03331024211010306,supervisor,last,no,2022,biochemistry in different phases of the migraine attack,https://hdl.handle.net/1887/3294058
13,gerrit lourentius johannes onderwater,gisela m terwindt,the netherlands,leiden umc,migraine,10.1097/j.pain.0000000000000891,supervisor,last,no,2022,biochemistry in different phases of the migraine attack,https://hdl.handle.net/1887/3294059
13,gerrit lourentius johannes onderwater,gisela m terwindt,the netherlands,leiden umc,migraine,10.1177/0333102420981739,supervisor,last,no,2022,biochemistry in different phases of the migraine attack,https://hdl.handle.net/1887/3294060
13,gerrit lourentius johannes onderwater,gisela m terwindt,the netherlands,leiden umc,migraine,10.1186/s10194-020-01114-5,supervisor,last,no,2022,biochemistry in different phases of the migraine attack,https://hdl.handle.net/1887/3294061
13,gerrit lourentius johannes onderwater,gisela m terwindt,the netherlands,leiden umc,migraine,10.1111/ene.15075,supervisor,last,no,2022,biochemistry in different phases of the migraine attack,https://hdl.handle.net/1887/3294062
13,gerrit lourentius johannes onderwater,gisela m terwindt,the netherlands,leiden umc,migraine,10.1177/0333102418783295,supervisor,last,no,2022,biochemistry in different phases of the migraine attack,https://hdl.handle.net/1887/3294063
